Task_ID	dialog_diff	dialog_1	dialog_2	dialog_3	dialog_4	dialog_5	dialog_6	dialog_7	dialog_8	dialog_9	dialog_10	dialog_11	dialog_12	dialog_13	dialog_14	dialog_15	dialog_16	dialog_17	dialog_18	dialog_19	dialog_20	Description	Task_Tip	Unfinish_Talk
336	finish_talk	PlayerName: Tr­ëng l·o, ta vÒ råi.																						
337	get_talk	NpcName: Qu¸ tèt råi, chóng ta ®· ®ñ ng­êi råi. Cø ®Şa nµy do L«i §­êng Chñ thuéc h¹ cña Hång Ên Gi¸o Chñ phô tr¸ch, h·y ®¸nh b¹i thËp ®¹i Thiªn ¢m ThÇn Bİ Nh©n, g©y rèi lo¹n ®Ó dô L«i §­êng Chñ ra ngoµi, sau khi ®¸nh b¹i L«i §­êng Chñ th× Thiªn ¢m Gi¸o sÏ kh«ng d¸m chñ ®éng tÊn c«ng Vâ L©m Minh vµ ba n­íc.	PlayerName: §­îc, ta sÏ cè g¾ng hÕt søc.																					
337	finish_talk	NpcName: <sex> tèt l¾m, cuèi cïng chóng ta còng tiªu diÖt ®­îc Thiªn ¢m Gi¸o, thêi gian nµy chóng sÏ kh«ng d¸m lµm lo¹n n÷a.	PlayerName: õm, ®©y lµ viÖc nªn lµm mµ.	NpcName: VÊt v¶ cho <sex> råi, hiÖn t¹i ta cã mét bøc Th­ TiÕn Cö Phôc Sinh, h·y mang ®i giao cho TuyÒn Ch©u-B¾c §Èu L·o Nh©n, «ng ta sÏ gióp ng­¬i thùc hiÖn phôc sinh.	PlayerName: ®­îc th«i																			
338	get_talk	PlayerName: B¸i kiÕn Nh¹c ch­ëng m«n, v·n bèi lu«n khæ luyÖn kinh m¹ch, hiÖn ®· ®¶ th«ng c¶nh giíi Vâ T«n, khÈn cÇu Nh¹c ch­ëng m«n gióp v·n bèi ®¶ th«ng c¶nh giíi Vâ Hoµng.	NpcName: <sex> ®Õn råi µ, c¶nh giíi Vâ Hoµng rÊt khã ®Ó ®¶ th«ng, ng­i ph¶i chŞu ®ùng ®­îc thiªn kiÕp.	NpcName: Thiªn kiÕp lµ mét sù k×m h·m cña tù nhiªn víi sinh vËt, chØ cã v­ît qua thiªn kiÕp míi cã thÓ kim thiÒn tho¸t x¸c, luyÖn ®­îc thÇn thÓ siªu nhiªn, nÕu kh«ng v­ît qua sÏ hãa thµnh tro bôi trë vÒ víi ®Êt trêi.	NpcName: T­¬ng truyÒn thÕ gian cã mét lo¹i linh d­îc cã thÓ æn ®Şnh ch©n nguyªn, hoa1giai3 hiÓm nguy tªn  lµ Ch©n Nguyªn Néi §¬n, nÕu t×m ®­îc linh ®¬n nµy th× l·o phu cã thÓ gióp ng­¬i mét tay.	PlayerName: Nhê Nh¹c ch­ëng m«n chØ gi¸o.	NpcName: B¸ch HiÓu Sinh Tr­ëng L·o th«ng hiÓu thiªn v¨n ®Şa lı, h·y ®Õn Vâ L©m Minh t×m B¸ch HiÓu Sinh Tr­ëng L·o hái thö xem.	PlayerName: ®a t¹ Nh¹c tr­ëng m«n.																
338	finish_talk	PlayerName: B¸i kiÕn B¸ch HiÓu Sinh Tr­ëng L·o.																						
339	get_talk	PlayerName: <sex>, ta nghe Nh¹c ch­ëng m«n nãi r»ng ng­¬i muèn xung kİch c¶nh giíi Vâ Hoµng? Xung kİch c¶nh giíi kh«ng ph¶i chuyÖn dÔ dµng, nhê <sex> h·y nhËn nhiÖm vô ë chç ta, gia nhËp ThÕ Lùc Ba Phe ®Ó rÌn luyÖn råi quay l¹i t×m ta.	PlayerName: §­îc, ®a t¹ B¸ch HiÓu Sinh Tr­ëng L·o ®· chØ ®iÓm.																					
339	finish_talk	PlayerName: Tr­ëng l·o, ta ®· gia nhËp thÕ lùc.																						
340	get_talk	NpcName: RÊt tèt, <sex> qu¶ nhiªn dòng m·nh thiÖn chiÕn, ng­¬i h·y nhanh chãng ®Õn c¸c thµnh chİnh t×m Ng­êi TiÕp DÉn Liªn Server, vµo ChiÕn Tr­êng ¢n O¸n §µi tiÕp nhËn khiªu chiÕn nµo.	PlayerName: Ta chÊp nhËn khiªu chiÕn.																					
340	finish_talk	PlayerName: Tr­ëng l·o, ta ®· v­ît qua khiªu chiÕn ¢n O¸n §µi.																						
341	get_talk	NpcName: Ta qu¶ nhiªn kh«ng nh×n lÇm ng­êi, <sex> t­ chÊt th«ng minh, dòng m·nh thiÖn chiÕn, ®óng lµ anh hïng xuÊt thiÕu niªn.	PlayerName: §a t¹ tr­ëng l·o, nhê ®éi tr­ëng chØ gi¸o.	NpcName: Ha ha, ng­¬i thËt lµ s¶ng kho¸i. §­îc, ng­¬i h·y lËp tøc ®Õn ThÊt L¹c Nhai t×m tÕ ®µn thÕ lùc t­¬ng øng ®Ó tham gia DiÔn Vâ ChiÕn, quyÕt chiÕn quÇn hïng, xÕp h¹ng trong TOP 5 th× ta sÏ gióp ng­¬i mét tay.	PlayerName: ®­îc th«i																			
341	finish_talk	PlayerName: Tr­ëng l·o, ta ®· hoµn thµnh nhiÖm vô råi.																						
342	get_talk	NpcName: Ha ha, <sex> qu¶ nhiªn lîi h¹i, nÕu c¶ hai ®Òu cã duyªn víi nhau th× l·o phu sÏ tÆng viªn Ch©n Nguyªn Néi §¬n nµy cho ng­¬i, h·y nhanh chãng quay vÒ Hoa S¬n b¸i kiÕn Nh¹c ch­ëng m«n, nhê gióp ®ì ®¶ th«ng c¶nh giíi, chóc ng­¬i may m¾n.	PlayerName: §a t¹ tr­ëng l·o, hÑn gÆp l¹i.																					
342	finish_talk	PlayerName: B¸i kiÕn Nh¹c ch­ëng m«n.																						
343	get_talk	NpcName: Xem ra ng­¬i ®· thµnh c«ng lÊy ®­îc linh ®¬n råi, <sex> qu¶ nhiªn rÊt xuÊt s¾c!	PlayerName: Nh¹c ch­ëng m«n qu¸ khen, nhê ch­ëng m«n gióp ta mét tay.	NpcName: §­îc! Ng­¬i h·y qua ®©y, l·o phu sÏ vËn c«ng, chóc ng­¬i sÏ ®ét ph¸ c¶nh giíi Vâ Hoµng.																				
343	finish_talk	PlayerName: §a t¹ ch­ëng m«n gióp ®ì!																						
344	get_talk	NpcName: Ta th©n lµ tæng tiªu ®Çu cña Thiªn Hµnh Tiªu Côc, muèn ®¹t ®Õn tr×nh ®é cao h¬n th× rÊt khã kh¨n, nay ®Õn ®©y hy väng më réng thŞ tr­êng míi, cho dï sau nµy kh«ng thÓ ngåi v÷ng chøc long ®Çu tiªu côc cïng cã chç ®øng ë thÕ lùc ba phe, vŞ <sex> nµy ®ång ı gióp ta mét tay kh«ng?																						
344	finish_talk	PlayerName: Ta ®ång ı gióp ®ì tiªu ®Çu hoµn thµnh nguyÖn väng!																						
345	get_talk	NpcName: Tiªu côc thÒ "uy tİn thiªn h¹, giao hµng ®óng ngµy", cÇn ph¶i cã mèi quan hÖ tèt víi c¸c bªn, mêi <sex> ®Õn Vâ L©m Minh th«ng b¸o tin tiªu côc sÏ lËp ph©n côc ë ThÊt L¹c Nhai cho B¸ch HiÓu Sinh tr­ëng l·o biÕt.																						
345	finish_talk	NpcName: Tèt l¾m, ta sÏ th«ng b¸o tin tèt nµy cho thÕ lùc ba phe, <sex> vÊt v¶ råi.																						
346	get_talk	NpcName: Ta hiÓu råi, ta sÏ chuyÓn lêi cho tİn sø ba n­íc. Ng­¬i h·y vÒ phôc mÖnh ®i.																						
346	finish_talk	NpcName: VÊt v¶ cho ng­¬i råi!																						
347	get_talk	NpcName: Quµ mang ®Õn råi, tiÕp theo ®Õn l­ît tiªu côc cña ta ra tay råi! Nghe nãi Thiªn ¢m Th¸nh §Şa cã mét sè kÎ c­íp ®ang ©m m­u c­íp xe tiªu cña ta, nhê ®¹i hiÖp trõng trŞ mét phen.																						
347	finish_talk	NpcName: Tèt l¾m, <sex> thËt tµi giái.																						
348	get_talk	NpcName: Ha ha, <sex> qu¶ kh«ng phô lßng cña ta, thÓ hiÖn Thiªn Hµnh Tiªu Côc v¨n vâ song toµn, lµm rÊt tèt. Ta sÏ cho <sex> më danh väng Thiªn Hµnh Tiªu Côc.																						
348	finish_talk	PlayerName: §a t¹ tæng tiªu ®Çu, ta sÏ cè g¾ng hÕt søc!																						
349	get_talk	NpcName: Phông lÖnh cña Ngù Sö ®Õn ThÊt L¹c Nhai truy b¾t kh©m ph¹m bá trèn, kh«ng ngê lóc chóng t«i ®Õn th× h¾n ®· bá trèn råi, nhê ®¹i hiÖp gióp ®ì ®i th¨m dß.	NpcName: Ta nghe nãi kh©m ph¹m ch¹y trèn ®Õn ThÊt L¹c Nhai, mêi ®¹i hiÖp ®i b¾t 20 ThÇn §µn Hé Ph¸p tra kh¶o thö råi quay vÒ phôc mÖnh.																					
349	finish_talk	NpcName: Nghe nãi §¹p V©n khinh c«ng v« song, ®i l¹i nh­ giã, kh©m ph¹m nµy tho¸t ®­îc tõ tay cña ng­êi ®ã th× ch¾c lµ do Thiªn ¢m Giao nhóng tay vµo.																						
350	get_talk	PlayerName: §óng lµ Thiªn ¢m Gi¸o kh«ng? Nhê tr­ëng l·o nãi râ h¬n.																						
350	finish_talk	PlayerName: Sø gi¶ §¹p V©n, ta ®· hoµn thµnh nhiÖm vô råi.																						
351	get_talk	NpcName: Cuèi cïng ®· th¨m dß ®­îc tin tøc cña kh©m ph¹m, nhê ®¹i hiÖp ®Õn Thiªn ¢m Th¸nh §Şa-Hå T©m §¶o (220/213) sö dông Hµnh Tiªu, dô kh©m ph¹m xuÊt hiÖn råi b¾t h¾n quy ¸n.																						
351	finish_talk	PlayerName: Sø gi¶ §¹p V©n, ta ®· b¾t kh©m ph¹m vÒ råi.																						
352	get_talk	NpcName: C¸m ¬n ®¹i hiÖp ®· gióp ta b¾t kh©m ph¹m, nh­ng ta cßn ph¶i ë l¹i ®©y mét thêi gian, nÕu ®¹i hiÖp cã thêi gian th× ®ång ı gióp ®ì chóng ta kh«ng?																						
352	finish_talk	PlayerName: Ta sÏ cè g¾ng hÕt søc!																						
353	get_talk	NpcName: Ta muèn khiÕn cho TiÒn phu nh©n në mét nô c­êi, nghe nãi ë ThÊt L¹c Nhai cã mét lo¹i hoa l¹, tiÕc lµ ®­êng ®i hiÓm trë vµ nhiÒu kÎ c­íp, ®¹i hiÖp ®ång ı h¸i gióp ta mét ®ãa hoa kh«ng?																						
353	finish_talk	PlayerName: Ta mang hoa l¹ ®Õn ®©y																						
354	get_talk	NpcName: Yªu ai yªu c¶ ®­êng ®i, chØ cÇn ta nu«i bĞo Tr­ TiÓu B¹ch cña TiÒn phu nh©n, ch¾c lµ sÏ ®­îc mü nh©n håi ®¸p?																						
354	finish_talk	NpcName: ¤i (H×nh nh­ ¨n no qu¸ råi)																						
355	get_talk	NpcName: ¤i																						
355	finish_talk	PlayerName:T«i ®· thu tËp BiÖn L«i t­¬i nhÊt vµ cho Tr­ TiÓu B¹ch ¨n råi, nã rÊt thİch.																						
356	get_talk	NpcName:T«i muèn mêi TiÒn phu nh©n ¨n yÕn tiÖc nh­¬ng l­¬ng s¶n cña ThÊt L¹c Nhai kh«ng ®ñ, ®¹i hiÖp cã thÓ t×m cho t«i mét sè "ThŞt L¹p" "D©y BÇu" "Qu¶ V¶i"®­îc kh«ng, cã nh­ìng tµi liÖu nµy, t«i cã thÓ mÖnh ®Çu bÕp nÊu ra mãn ¨n ng«n, ch¾c chŞ Êy vui sÏ t­¬i c­êi.																						
356	finish_talk	NpcName: <sex> gióp ®ì rÊt nhiÒu råi!																						
357	get_talk	NpcName: Ta sÏ tiÕp tôc kiªn tr×, sÏ cã ngµy khiÕn cho TiÒn phu nh©n c¶m ®éng, ®¹i hiÖp sÏ gióp ta chø?																						
357	finish_talk	PlayerName: Ta sÏ cè g¾ng hÕt søc!																						
370	get_talk	PlayerName: Phiªu b¹t giang hå, kh«ng quªn së t©m. ChØ cÇu mét chç trong Vâ L©m, thÕ nh­ng tµi nguyªn cã h¹n, muèn t×m kiÕm mét ThÇn Binh tuyÖt thÕ ®Ó n©ng cao n¨ng lùc b¶n th©n, ®Õn thØnh gi¸o B¸ch HiÓu Sinh tiªn sinh.	NpcName: Kh«ng biÕt <sex> ®· tõng nghe, Thî RÌn L­u ë thµnh T­¬ng D­¬ng rÊt næi tiÕng, lµ truyÒn nh©n cña thî ®óc kiÕm næi tiÕng thêi Xu©n Thu ChiÕn Quèc ¢u D· Tö, nh­ng muèn ®óc vò khİ tèt ngoµi kü nghÖ tinh th©m ra cßn cÇn cã vËt liÖu tèt, c¸c h¹ kh«ng ng¹i cã thÓ ®Õn chç Thî RÌn L­u hái xem, biÕt ®©u «ng ta cã thÓ gióp ®­îc c¸c h¹.																					
370	finish_talk	PlayerName: Nghe nãi Thî RÌn L­u lµ truyÒn nh©n cña Thî RÌn næi tiÕng, t¹i h¹ nghe danh mµ ®Õn, kh«ng biÕt ®¹i s­ cã b»ng lßng kÕt giao b»ng h÷u.	NpcName: ViÖc nµy cã thÓ																					
371	get_talk	NpcName: Hahaha, ta ®óc kiÕm bao n¨m, tuy xuÊt th©n danh m«n thÇy giái nh­ng ®Õn nay vÉn ch­a thÓ quang diÖu s­ m«n, kh«ng ngê thiÕu hiÖp l¹i biÕt ta, l·o phu thËt lµ c¶m ®éng.	PlayerName:  ¤ng qu¸ lêi råi, trong giang hå tªn tuæi cña «ng næi nh­ cån.	NpcName: ThÕ nh­ng ®Õn b©y giê l·o phu vÉn ch­a ®óc ®­îc 1 ThÇn Binh Lîi Khİ nµo ®Ó l­u truyÒn ®êi sau, thËt lµ ®iÒu ®¸ng tiÕc.	PlayerName: RÊt nhiÒu chuyÖn ph¶i nhê vµo thiªn thêi ®Şa lîi nh©n hßa, t¹i h¹ häc vâ nhiÒu n¨m, tuy kh«ng ph¶i lµ mét kú tµi xuÊt chóng, nh­ng còng lµ kÎ th«ng minh, tù hái hµng ngµy ch¨m chØ khæ luyÖn, ch¨m chØ tu häc vç c«ng m«n ph¸i, nh­ng kh«ng ®­îc ®éc m«n ch©n truyÒn, kh«ng thÓ l·nh héi ®­îc tinh tóy th©m s©u.	NpcName: Ta tuy xuÊt th©n danh m«n thÇn giái, còng méng mŞ ®­îc nh­ s­ tæ nh­ng ThÇn Khİ xuÊt thÕ còng nhê vµo thiªn thêi ®Şa lîi nh©n hßa, xem ra hai ta ®ång bÖnh t­¬ng liªn.	PlayerName: Kh«ng biÕt cã g× t¹i h¹ cã thÓ gióp ®­îc kh«ng?	NpcName: Ta tuy ®· ngoµi trung niªn, nh­ng dï g× còng ®­îc s­ phô truyÒn kü nghÖ, kh«ng thÓ ®Ó kü nghÖ cña s­ m«n ®Õn ®êi cña ta l¹i ¶m ®¶m, tù ta còng chó t©m nghiªn cøu bao l©u nay, nghe nãi mÊy ngµn n¨m tr­íc cã Thiªn Th¹ch r¬i xuèng, m¶nh vôn cña nã r¬i kh¾p n¬i, hÊp thô Tinh Hoa NhËt NguyÖt nay ®· thµnh HuyÒn Tinh v« cïng quı gi¸ , nÕu cã ®­îc nã ¾t sÏ ®óc ®­îc trang bŞ tuyÖt thÕ.	PlayerName: Kú kho¸ng nh­ vËy, nÕu ®­a vµo tay «ng ch¾c sÏ ®óc thµnh vò khİ tuyÖt thÕ.	NpcName:  L·o Phu hµ tÊt kh«ng nghÜ nh­ vËy, nh­ng ®ã còng chØ lµ nghe nãi th«i, kh«ng biÕt cã thËt hay kh«ng, h¬n n÷a ta ®· thµnh gia lËp nghiÖp, ph¶i trong nom chuyÖn bu«n b¸n cña tiÖm rÌn. NÕu thiÕu hiÖp cã thÓ gióp ta, l·o phu thËt c¶m ¬n v« cïng.	PlayerName: ¤ng vµ ta cã duyªn nh­ vËy, h¬n n÷a ®©y còng lµ c¬ héi t«i luyÖn giang hå, t¹i h¹ sao mµ kh«ng vui cho ®­îc.	NpcName: ThÕ th× tèt, <sex> c¸c h¹ ®óng lµ ng­êi tèt, ng­êi b»ng h÷u nh­ c¸c h¹ ta nhÊt ®Şnh ph¶i kÕt giao.	PlayerName: §Êt trêi réng lín ta kh«ng biÕt b¾t ®Çu tõ ®©u?	NpcName: Tuy chØ lµ t­¬ng truyÒn, nh­ng HuyÒn Tinh ch¾c ch¾c lµ cã thËt, nhÊt ®Şnh cã liªn quan ®Õn c¸c ®¹i m«n ph¸i. C¸c m«n ph¸i n»m kh¾p n¬i ë Cöu Ch©u §¹i §Şa, lÇn nµy ®i ®­êng x¸ xa x«i, HuyÒn Tinh nÕu tån t¹i ch¾c ch¾n lµ vËt trÊn b¶o cña c¸c m«n ph¸i, kh«ng dÔ g× dß hái ®­îc. Ph¸i ThiÕu L©m lµ ng­êi xuÊt gia kh«ng nãi lêi ng«ng cuång, c¸c h¹ <sex> nªn ®Õn ThiÕu L©m Tù hái th¨m HuyÒn Tõ ph­¬ng tr­îng tr­íc.	PlayerName: ®­îc th«i									
371	finish_talk	PlayerName: Tham kiÕn Ph­¬ng Tr­îng, t¹i h¹ lÇn nµy ®Õn lµ thØnh gi¸o ph­¬ng tr­îng vÒ mét lo¹i kú kho¸ng cã tªn HuyÒn Tinh.																						
372	get_talk	NpcName:  A Di §µ PhËt,  <sex> sao biÕt ®­îc chuyÖn HuyÒn Tinh?	PlayerName:  lµ Thî RÌn L­u nãi cho c¸c h¹ biÕt; Thî RÌn L­u vèn lµ truyÒn nh©n cña ¢u D· Tö, say mª ®óc rÌn, mong cã ®­îc vËt hiÕm cã nµy, ®Ó ®óc thµnh ThÇn Binh, ta víi «ng ta kÕt giao b»ng h÷u, «ng ta kh«ng tiÖn ®i l¹i nªn nhê ta ®Õn th¨m hái.	NpcName:  Kh«ng giÊu g× <sex>, ThiÕu L©m ta còng cã vËt nµy, vËt nµy ®Õn tõ ngoµi hµnh tinh, hÊp thô Tinh Hoa NhËt NguyÖt, ®ång thêi ®­îc cã ®­îc nhuËn khİ ®¹i ®Şa, ngµn n¨m nay v·n ®­îc cung phông trong chïa cña chóng ta, ®­¬ng nhiªn kh«ng thÓ dÔ dµng g× giao cho thiÕu hiÖp ®­îc. HuyÒn Tinh lµ do m¶nh ThiÕt Tinh th¨ng hãa mµ thµnh, n»m r¶i r¸c kh¾p c¸c ®¹i m«n ph¸i, thiÕu hiÖp kh«ng ng¹i cã thÓ ®Õn m«n ph¸i kh¸c xem sao. Thiªn Ba D­¬ng Phñ vµ ThiÕu L©m c¸ch nhau kh«ng xa, thiÕu hiÖp kh«ng b»ng ®Õn ®i vÒ phİa b¾c ®Õn D­¬ng M«n tr­íc, trªn ®­êng cã thÓ dõng ch©n t¹i BiÖn Kinh, råi tiÕp tôc ®i ®Õn c¸c m«n ph¸i kh¸c, A Di §µ PhËt.	PlayerName: §a t¹ ph­¬ng tr­îng.																			
372	finish_talk	PlayerName: B¸i kiÕn Xa Th¸i Qu©n.																						
373	get_talk	PlayerName: T¹i h¹ lÇn nµy ®Õn muèn t×m hiÓu vÒ HuyÒn Tinh, nghe nãi n»m r¶i r¸c kh¾p c¸c ®¹i m«n ph¸i, kh«ng biÕt Th¸i Qu©n cã biÕt viÖc nµy kh«ng.	NpcName: Kh«ng sai! D­¬ng M«n ta ®óng lµ cã HuyÒn Tinh thËt, vËt nµy ch­a ®ùng n¨ng lùc ngo¹i thiªn, ng­êi phµm khã mµ cã thÓ chÕ ngù ®­îc, tõ x­a ®Õn nay ®­îc ng­êi nhµ hä D­¬ng gi÷ g×n cÈn thÈn, ®­¬ng nhiªn kh«ng thÓ giao cho ng­êi kh¸c.	PlayerName: T¹i h¹ thùc ra lµ nhËn lêi nhê v¶ cña Thê RÌn L­u ®Õn t×m HuyÒn Tinh.	NpcName: Nªn biÕt HuyÒn Tinh kh«ng ph¶i lµ vµo b¹c ch©u b¸u, nh­ng ®ã còng lµ vËt v« cïng quı gi¸, trªn giang hå vÉn cßn l¾m kÎ tham lam muèn cã ®­îc; l·o hñ vµ thiÕu hiÖp ch­a tõng gÆp mÆt, trong thiÕu hiÖp tuæi cßn non trÎ, ch­a hiÓu nhiÒu thÕ sù, kh«ng gièng nh÷ng kÎ cã ®Çy tuyÖt kü, HuyÒn Tinh nµy giao cho ng­êi, sî r»ng kh«ng tháa, thiÕu hiÖp ®i ph¸i kh¸c xem sao.	PlayerName: Ta hiÓu råi, hÑn ngµy gÆp l¹i Th¸i Qu©n.																		
373	finish_talk	PlayerName: Xin chµo Long Bang Chñ.																						
374	get_talk	PlayerName: Long Bang Chñ, t¹i h¹ lÇn nµy ®Õn ®Ó t×m kho¸ng th¹ch kú dŞ HuyÒn Tinh, C¸i Bang huynh ®Ö n¨m ch©u bèn biÓn, hiÓu biÕt nhiÒu, kh«ng biÕt Bang Chñ cã tõng nghe vÒ vËt nµy?	NpcName: Xin hái c¸c danh cña thiÕu hiÖp, xin hái thiÕu hiÖp biÕt ®­îc th«ng tin nµy ë ®©u?	PlayerName: B»ng h÷u cña c¸c h¹ say mª ®óc rÌn, nhËn lêi nhê cËy ®Õn t×m kho¸ng th¹ch.	NpcName: C¸i Bang ta coi träng nghÜa khsi huynh ®Ö nhÊt, huynh ®Ö cã n¹n nói ®ao biÓn löa còng kh«ng tõ. Nh­ng ta vµ thiÕu hiÖp ch­a tõng gÆp mÆt, sao biÕt ®­îc b»ng h÷u cña ®¹i hiÖp lµ ng­êi nh­ thÕ nµo, liÖu cã ph¶i lµ kÎ tiÓu nh©n tham lîi!	PlayerName: Long Bang Chñ, tŞ h¹ tuyÖt ®èi kh«ng ph¶i lµ kÎ tiÓu nh©n, t¹i h¹ thùc chÊt lµ nhËn lêi nhê cËy cña Thî RÌn L­u.	NpcName: <sex> thËt ®¸ng khen. Nh­ng ng­êi kh«ng b»ng kh«ng chøng, ta còng kh«ng thÓ tin t­ëng ng­¬i ®­îc. Thî RÌn L­u vµ C¸i Bang ta t­ giao l©u nay, nÕu Thî RÌn L­u cã viÖc cÇn ®Õn ta, ¾t sÏ rót giao t­¬ng trî, chØ lµ mét viªn ®¸ cã g× ®¸ng nãi.	PlayerName: C¸c h¹ hiÓu råi, ta nhÊt ®Şnh sÏ ®em tİn vËt ®Õn gÆp Bang Chñ.																
374	finish_talk	PlayerName: Xin chµo gi¸o chñ.																						
375	get_talk	NpcName: ThiÕu hiÖp thËt lµ dòng c¶m, d¸m mét m×nh ®Õn vïng Miªu Linh M·n Hoang Chi §Şa cña ta.	PlayerName: T¹i h¹ lÇn nµy ®Õn lµ ®Ó t×m mét lo¹i Kho¸ng Th¹ch quı tªn lµ HuyÒn Tinh.	NpcName: ThiÕu HiÖp cã biÕt, chç cña ta lµ b¸ch ®éc t­¬ng sinh, chØ cÇn thiÕu hiÖp s¬ hë mét chót, lµ cã thÓ mÊt m¹ng kh«ng, chø ®õng nãi g× ®Õn viªn ®¸ b×nh th­êng. §õng ®Ó mÊt m¹ng hahahaha	PlayerName: B»ng h÷u say mª ®óc kiÕm, ta nguyÖn liÒu chÕt gióp «ng ta. B»ng h÷u cña t¹i h¹ lµ Thî RÌn L­u ë T­¬ng D­¬ng, «ng kü nghÖ tinh th«ng, kh«ng biÕt gi¸o chñ cã tõng nghe thÊy hay kh«ng.	NpcName: Ta kh«ng hÒ biÕt Thî RÌn L­u hay lµ Thî RÌn V­¬ng, ng­¬i muèn cã HuyÒn Tinh, còng ®­îc, vËt ngoµi hµnh tinh ®ã kh«ng hîp víi b¸ch ®éc t­¬ng sinh, gi÷ còng kh«ng cã t¸c dông g×, chØ lµ Gi¸o Chñ c¸c ®êi truyÒn l¹i ®Ó cÊt gi÷. Nh­ng viªn ®¸ nµy kh«ng thÓ cho kh«ng ng­¬i, nÕu ng­êi cã thÓ cho ta c¸i ta muèn th× ta sÏ ®æi cho ng­êi, thÕ nµo?	PlayerName: §a t¹ Gi¸o chñ, chØ lµ t¹i h¹ tiÕp ®Õn cßn ph¶i ®i th¨m c¸c m«n ph¸i kh¸c, sau nµy nhÊt ®Şnh sÏ ®Õn gÆp Gi¸o Chñ.																	
375	finish_talk	PlayerName: B¸i kiÕn S¸i Tr­ëng M«n																						
376	get_talk	NpcName: Kh«ng biÕt ThiÕu HiÖp t×m ta cã viÖc g×?	PlayerName: T¹i h¹ lÇn nµy ®Õn lµ ®Ó t×m mét lo¹i Kho¸ng Th¹ch quı tªn lµ HuyÒn Tinh.	NpcName: HuyÒn Tinh ®óng lµ cã thËt. Xem ra viªn ®¸ nµy ®óng kh«ng ph¶i vËt tÇm th­êng, ch¼ng tr¸ch triÒu ®×nh th­êng xuyªn cho ng­êi ®Õn t×m, ch¾c ng­¬i còng muèn lÊy ®Ó d©ng cho l·o Hoµng §Õ ®óng kh«ng.	PlayerName: Thî RÌn L­u ë T­¬ng D­¬ng si mª ®óc kiÕm, muèn t×m kiÕm kho¸ng quı ®Ó ®óc t¹o ThÇn Binh, ta nhËn lêi nhê cña «ng ®Õn t×m lo¹i Kho¸ng Th¹ch nµy.	NpcName: Thî RÌn L­u lµ s­ phô næi tiÕng, nh­ng chØ dùa vµo lêi nãi cña thiÕu hiÖp ta sao biÕt ®©u lµ thËt gi¶, liÖu ng­¬i cã ph¶i lµ ng­êi cña triÒu ®×nh ph¸i ®Õn kh«ng, thiÕu hiÖp ®õng t­ëng ph¸i ta lµ phËn n÷ nhØ mµ coi th­êng, HuyÒn Tinh nµy kh«ng thÓ tïy tiÖn ®­a cho ng­¬i.	PlayerName: T¹i h¹ kh«ng d¸m, nh÷ng lêi t¹i h¹ nãi ®Òu lµ thËt, tuyÖt ®èi kh«ng cã chót dèi tr¸ nµo. ThÕ nµy vËy hÑn ngµy ®Õn b¸i kiÕm sÏ ®em theo tİn vËt.																	
376	finish_talk	PlayerName: B¸i kiÕm L·o L·o.																						
377	get_talk	NpcName: Chµng thanh niªn, t×m ta cã viÖc g×?	PlayerName: T¹i h¹ lÇn nµy ®Õn lµ ®Ó t×m mét lo¹i Kho¸ng Th¹ch quı tªn lµ HuyÒn Tinh.	NpcName: A haha, theo ta biÕt, HuyÒn Tinh tuy lµ vËt tõ ngoµi hµnh tinh nh­ng xĞt cho cïng còng chØ lµ mét viªn ®¸, thiÕu hiÖp sao l¹i cã høng thó víi nã vËy?	PlayerName: Thî RÌn L­u ë T­¬ng D­¬ng si mª ®óc kiÕm, muèn t×m kiÕm kho¸ng quı ®Ó ®óc t¹o ThÇn Binh, ta nhËn lêi nhê cña «ng ®Õn t×m lo¹i Kho¸ng Th¹ch nµy.	NpcName: Hãa ra lµ vËy, lµ vŞ Thî RÌn L­u ®ã, thiÕu hiÖp cã tİn vËt cña «ng ta kh«ng?	PlayerName: Ta? lÇn nµy ®Õn véi v·, kh«ng cÇm theo tİn vËy, do ta suy nghÜ kh«ng chu ®¸o.	NpcName: HuyÒn Tinh ®óng lµ tµi nguyªn tèt, m«n ph¸i cña ta khi chÕ t¹o ¸m khİ còng cho thªm mét chót vµo lµm nguyªn liÖu, hiÖu qu¶ qu¶ kh«ng gièng nh­ th­êng. §­êng M«n ta giái dïng c¬ quan ®éc khİ , b×nh th­êng còng kh«ng qua l¹i nhiÒu víi Thî RÌn L­u, nh­ng nÕu thiÕu hiÖp nhËn lêi nhê cËy cña «ng ta th× nÕu thiÕu hiÖp cã thÓ gióp ta lµm vµi viÖc, l·o hñ còng sÏ suy nghÜ ®Õn viÖc ®­a HuyÒn Tinh cho thiÕu hiÖp.	PlayerName: §a t¹ L·o L·o, t¹i h¹ lÇn nµy cßn ph¶i ®Õn b¸i kiÕn tr­ëng m«n c¸i m«n ph¸i kh¸c, tha lçi cho t¹i h¹ lÇn sau sÏ ®Õn th¨m L·o L·o.	NpcName: ¤ hahaha, ®i ®i, thanh niªn thËt lµ n¨ng næ.														
377	finish_talk	PlayerName: B¸i kiÕn s­ th¸i.																						
