Task_Name	Task_ID	Task_Flag	From_NPC	To_NPC	Ex_Condition	Finish_Condition	Task_Action	Task_Prize	Action_Room_Weight	Prize_Room_Weight	Cancel_Task	Skip_Task	Skip_Is_NeedConditionItem	Skip_Cost_No_Item
Lo¹n chiÕn ThÊt L¹c Nhai	385	1			30409	30441&30442&30443	30552&30553&30554	30548	1;0	1;0	10	-1		
X©m nhËp Long Hæ §­êng	386	1			30409	30444&30445	30555&30556	30548	1;0	1;0	10	-1		
DiÔn Vâ LuyÖn ChiÕn	387	1			30409	30446		30548	1;0	1;0	10	-1		
Khiªu ChiÕn C«n L«n	388	0	Chu BÊt HoÆc	Chu BÊt HoÆc	30435&30409	30456		30545	1;0	1;0	10	-1		
Khiªu ChiÕn Tr­ëng M«n C«n L«n	389	0	Chu BÊt HoÆc	Chu BÊt HoÆc	30002	30447	30557	30549&30551	1;0	1;0	10	2;97;236;3		
Khiªu ChiÕn Nga My	390	0	Ch©n Nh­ s­ th¸i	Ch©n Nh­ s­ th¸i	30435&30409	30456		30545	1;0	1;0	10	-1		
Khiªu ChiÕn Nga My S­ Th¸i	391	0	Ch©n Nh­ s­ th¸i	Ch©n Nh­ s­ th¸i	30002	30454		30549&30551	1;0	1;0	10	2;97;236;5		
Khiªu ChiÕn §­êng M«n	392	0	§­êng M«n L·o L·o	§­êng M«n L·o L·o	30435&30409	30456		30545	1;0	1;0	10	-1		
Khiªu ChiÕn §­êng M«n L·o L·o	393	0	§­êng M«n L·o L·o	§­êng M«n L·o L·o	30002	30449	30558	30549&30551	1;0	1;0	10	2;97;236;5		
Khiªu ChiÕn Thóy Yªn	394	0	Sµi Hoµng Nhi	Sµi Hoµng Nhi	30435&30409	30456		30545	1;0	1;0	10	-1		
Khiªu ChiÕn Thóy Yªn Tr­ëng M«n	395	0	Sµi Hoµng Nhi	Sµi Hoµng Nhi	30002	30450		30549&30551	1;0	1;0	10	2;97;236;5		
Khiªu ChiÕn Ngò §éc	396	0	B¹ch Doanh Doanh	B¹ch Doanh Doanh	30435&30409	30456		30545	1;0	1;0	10	-1		
Khiªu ChiÕn Ngò §éc Gi¸o Chñ-1	397	0	B¹ch Doanh Doanh	B¹ch Doanh Doanh	30002	30451		30545	1;0	1;0	10	2;97;236;2		
Khiªu ChiÕn Ngò §éc Gi¸o Chñ-2	398	0	B¹ch Doanh Doanh	B¹ch Doanh Doanh	30002	30452		30549&30551	1;0	1;0	10	2;97;236;5		
Khiªu ChiÕn Vâ §ang	399	0	Tö H¹c ch©n nh©n	Tö H¹c ch©n nh©n	30435&30409	30456		30545	1;0	1;0	10	-1		
Khiªu ChiÕn Vâ §ang Tr­¬ng M«n	400	0	Tö H¹c ch©n nh©n	Tö H¹c ch©n nh©n	30002	30453		30549&30551	1;0	1;0	10	2;97;236;5		
Khiªu ChiÕn ThiÕu L©m	401	0	HuyÒn Tõ	HuyÒn Tõ	30435&30409	30456		30545	1;0	1;0	10	-1		
Khiªu ChiÕn ThiÕu L©m Ph­¬ng Tr­îng	402	0	HuyÒn Tõ	Vâ L©m Minh-Kh« Méc §¹i S­	30002	30448		30549&30551	1;0	1;0	10	2;97;236;5		
Khiªu ChiÕn C¸i Bang	403	0	Long T¹i Thiªn	Long T¹i Thiªn	30435&30409	30456		30549&30551	1;0	1;0	10	-1		
Khiªu ChiÕn D­¬ng M«n	404	0	Xa Th¸i Qu©n	Xa Th¸i Qu©n	30435&30409	30456		30545	1;0	1;0	10	-1		
Khiªu ChiÕn D­¬ng M«n D­ Th¸i Qu©n	405	0	Xa Th¸i Qu©n	Xa Th¸i Qu©n	30002	30455		30549&30551	1;0	1;0	10	2;97;236;10		
NhiÖm vô nhËp m«n Minh gi¸o (1)	406	0	Ph­¬ng L¹p	Ph­¬ng ThÊt PhËt	30205&30215			30559&30560&30561&30280	3;50	3;50	-1	-1		
NhiÖm vô nhËp m«n Minh gi¸o (2)	407	0	Ph­¬ng ThÊt PhËt	HÇu §«n	30002	30457		30562&30281	3;50	3;50	-1	-1		
NhiÖm vô nhËp m«n Minh gi¸o (3)	408	0	HÇu §«n	V­¬ng DÇn	30002	30457&30458		30282	3;50	3;50	-1	-1		
NhiÖm vô nhËp m«n Minh gi¸o (4)	409	0	V­¬ng DÇn	T­ Hµnh Ph­¬ng	30002	30457&30459	30563	30283	3;50	3;50	-1	-1		
NhiÖm vô nhËp m«n Minh gi¸o (5)	410	0	T­ Hµnh Ph­¬ng	LÖ Thiªn NhuËn	30002	30457	30564	30565&30284	3;50	3;50	-1	-1		
NhiÖm vô nhËp m«n Minh gi¸o (6)	411	0	LÖ Thiªn NhuËn	§Æng Nguyªn GÝ¸c	30002	30460&30461&30462&30463		30285	3;50	3;50	-1	-1		
NhiÖm vô nhËp m«n Minh gi¸o (7)	412	0	§Æng Nguyªn GÝ¸c	Ph­¬ng L¹p	30002			30278	3;50	3;50	-1	-1		
NhiÖm vô nhËp m«n Minh gi¸o (8)	413	0	Ph­¬ng L¹p	Ph­¬ng L¹p	30002			30279&30633	3;50	3;50	-1	-1		
Th¨m dß tung tøc	414	0	Tr­ëng l·o B¸ch HiÓu Sinh	Tr­ëng l·o B¸ch HiÓu Sinh	30409	30464	30628	30581	1;0	1;0	10	-1		
LÊy l¹i vËt phÈm	415	0	Tr­ëng l·o B¸ch HiÓu Sinh	Tr­ëng l·o B¸ch HiÓu Sinh	30002	30472&30473&30474&30475&30476	30629	30581	1;0	5;50	10	-1		
S¬ nhËp Ngò hµnh	416	0	Tr­ëng l·o B¸ch HiÓu Sinh	Minh S­ Phã	30002			30581	1;0	1;0	10	-1		
C¸ch söa ch÷a	417	0	Minh S­ Phã	Chu ThiÖn Nh©n	30002			30581	1;0	1;0	10	-1		
§o¹t Kim Tinh	418	0	Chu ThiÖn Nh©n	Minh S­ Phã	30002	30466		30572	1;0	1;10	10	-1		
§Õn Thµnh §«	419	0	Minh S­ Phã	CÈm n­¬ng	30002			30581	1;0	1;0	10	-1		
C¸ch söa ch÷a 2	420	0	CÈm n­¬ng	DiÖp L·o	30002			30581	1;0	1;0	10	-1		
Cã ®­îc Méc Tinh	421	0	DiÖp L·o	DiÖp L·o	30002	30467		30573&30581	1;0	1;10	10	-1		
Trë l¹i Thµnh §«	422	0	DiÖp L·o	CÈm n­¬ng	30002	30468		30574	1;0	1;10	10	-1		
§Õn §¹i Lý	423	0	CÈm n­¬ng	Tö Quyªn	30002			30581	1;0	1;0	10	-1		
C¸ch söa ch÷a 3	424	0	Tö Quyªn	Tö Quyªn	30002	30469		30575	1;0	1;10	10	-1		
Trë vÒ T­¬ng D­¬ng	425	0	Tö Quyªn	Thî rÌn L­u	30002			30581	1;0	1;0	10	-1		
C¸ch söa ch÷a 4	426	0	Thî rÌn L­u	Thî rÌn L­u	30002	30470&30471		30576&30577	1;0	2;20	10	-1		
T×m Thiªn c«ng x¶o thñ	427	0	Thî rÌn L­u	Thiªn c«ng x¶o thñ L­u Thi Anh	30002			30581	1;0	1;0	10	-1		
C¸ch t¨ng phÈm chÊt	428	0	Thiªn c«ng x¶o thñ L­u Thi Anh	Thiªn c«ng x¶o thñ L­u Thi Anh	30002			30578	1;0	1;10	10	-1		
C¸ch c­êng hãa	429	0	Thiªn c«ng x¶o thñ L­u Thi Anh	Thiªn c«ng x¶o thñ L­u Thi Anh	30002			30579&30580	1;0	2;20	10	-1		
Phong V©n Kinh BiÕn	430	0	Tr­ëng l·o B¸ch HiÓu Sinh	Tr­ëng l·o B¸ch HiÓu Sinh	30477	30478		30582	1;0	1;0	10	2;97;236;6		
§Õn tiÒn tuyÕn	431	0	Tr­ëng l·o B¸ch HiÓu Sinh	Hoa Th¸nh L¹c Phi	30002			30583	1;0	1;0	10	-1		
ChuÈn bÞ binh khÝ	432	0	Hoa Th¸nh L¹c Phi	M¹c §¹i	30002			30584	1;0	1;0	10	-1		
M¹c §¹i khÈn cÇu	433	0	M¹c §¹i	M¹c §¹i	30002	30479		30585	1;0	1;0	10	-1		
NhËn ®­îc binh khÝ (1)	434	0	M¹c §¹i	M¹c §¹i	30002			30586&30619	1;10	1;10	10	-1		
§Õn Thµnh §«	435	0	M¹c §¹i	M¹c NhÞ	30002			30587	1;0	1;0	10	-1		
§o¹t l¹i Bóa	436	0	M¹c NhÞ	M¹c NhÞ	30002	30484	30620	30588	1;10	1;10	10	2;97;236;14		
NhËn ®­îc binh khÝ (2)	437	0	M¹c NhÞ	M¹c NhÞ	30002			30589&30621	1;10	1;10	10	-1		
T×m M¹c Tam	438	0	M¹c NhÞ	M¹c Tam	30002			30590	1;0	1;0	10	-1		
T×m hiÓu Binh KhÝ Sö	439	0	M¹c Tam	M¹c Tam	30002			30591&30622	1;10	1;10	10	-1		
Håi b¸o L¹c Phi	440	0	M¹c Tam	Hoa Th¸nh L¹c Phi	30002	30480&30481&30482		30592	1;0	1;0	10	-1		
M­în l­¬ng th¶o (1)	441	0	Hoa Th¸nh L¹c Phi	Th¸i thó	30002			30593	1;0	1;0	10	-1		
Nçi lo Th¸i Thó	442	0	Th¸i thó	Th¸i thó	30002			30594	1;0	1;0	10	-1		
§iÒu tra hiÖn tr­êng	443	0	Th¸i thó	Xa phu Xe vËn l­¬ng	30002			30595	1;0	1;0	10	-1		
Hái xa phu	444	0	Xa phu Xe vËn l­¬ng	V©n Du §¹o Nh©n	30002			30596	1;0	1;0	10	-1		
§­îc ph¸p khÝ	445	0	V©n Du §¹o Nh©n	V©n Du §¹o Nh©n	30002	30504		30597&30632	1;0	1;0	10	-1		
DiÖt ¸c quû	446	0	V©n Du §¹o Nh©n	Th¸i thó	30002	30486&30504		30598	1;0	1;0	-1	2;1;30370;2		
Håi b¸o Th¸i Thó	447	0	Th¸i thó	Th¸i thó	30002			30599&30623	1;10	1;10	10	-1		
M­în l­¬ng th¶o (2)	448	0	Th¸i thó	Binh Bé ThÞ Lang	30002			30600	1;0	1;0	10	-1		
§îi lÖnh Thõa T­íng	449	0	Binh Bé ThÞ Lang	TriÖu Phæ	30002			30601	1;0	1;0	10	-1		
Thö th¸ch cña Thõa T­íng	450	0	TriÖu Phæ	TriÖu Phæ	30002	30488		30602	1;0	1;0	10	2;1;30370;1		
Håi b¸o Binh Bé ThÞ Lang	451	0	TriÖu Phæ	Binh Bé ThÞ Lang	30002	30489	30624	30603&30623	1;10	1;10	10	-1		
M­în l­¬ng th¶o (3)	452	0	Binh Bé ThÞ Lang	Tæng binh	30002			30604	1;0	1;0	10	-1		
Uèng 3 ly	453	0	Tæng binh	Tæng binh	30002	30490	30625	30605&30623	1;10	1;10	10	-1		
Quay vÒ phôc mÖnh	454	0	Tæng binh	Hoa Th¸nh L¹c Phi	30002	30487		30606	1;0	1;0	10	-1		
§­îc vËt t­ V¨n Søc	455	0	Hoa Th¸nh L¹c Phi	Tr­ëng l·o B¸ch HiÓu Sinh	30002			30607	1;0	1;0	10	-1		
Th­ §iÒu §éng VËt T­	456	0	Tr­ëng l·o B¸ch HiÓu Sinh	Tr­ëng l·o B¸ch HiÓu Sinh	30002	30491		30608&30626	1;10	1;10	10	2;1;30370;3		
Quay vÒ phôc mÖnh	457	0	Tr­ëng l·o B¸ch HiÓu Sinh	Hoa Th¸nh L¹c Phi	30002	30492		30609	1;0	1;0	10	-1		
Th¨m dß lËp tr­êng	458	0	Hoa Th¸nh L¹c Phi	Ph­¬ng L¹p	30002			30610	1;0	1;0	10	-1		
Thö th¸ch cña gi¸o chñ	459	0	Ph­¬ng L¹p	Ph­¬ng L¹p	30002	30493&30494	30630&30631	30611	1;0	1;0	10	2;97;236;9		
LËp tr­êng Minh gi¸o	460	0	Ph­¬ng L¹p	Ph­¬ng L¹p	30002	30505		30612	1;0	1;0	10	-1		
Quay vÒ phôc mÖnh	461	0	Ph­¬ng L¹p	Hoa Th¸nh L¹c Phi	30002			30613	1;0	1;0	10	-1		
Háa ThÇn Chóc Dung	462	0	Hoa Th¸nh L¹c Phi	Hoa Th¸nh L¹c Phi	30002	30499		30614	1;0	1;0	10	2;97;236;9		
ThuÊn ThÇn D¹ Oanh	463	0	Hoa Th¸nh L¹c Phi	Hoa Th¸nh L¹c Phi	30002	30500		30615	1;0	1;0	10	2;97;236;18		
NiÕt Bµn T«n Gi¶	464	0	Hoa Th¸nh L¹c Phi	Hoa Th¸nh L¹c Phi	30002	30501		30616	1;0	1;0	10	2;97;236;28		
V« L­îng Minh V­¬ng	465	0	Hoa Th¸nh L¹c Phi	Hoa Th¸nh L¹c Phi	30002	30502		30617	1;0	1;0	10	2;1;30370;1		
Thiªn ¢m rót lui	466	0	Hoa Th¸nh L¹c Phi	Hoa Th¸nh L¹c Phi	30002	30503		30618&30627	1;10	1;10	10	2;1;30370;2		
Khiªu chiÕn C«n L«n Ch­ëng M«n (2)	467	0	Chu BÊt HoÆc	Chu BÊt HoÆc	30526	30508	30664	30634&30644&30654&30446	1;0	1;0	10	2;97;236;3		
Khiªu chiÕn Nga My S­ Th¸i (2)	468	0	Ch©n Nh­ s­ th¸i	Ch©n Nh­ s­ th¸i	30527	30509	30665	30635&30645&30655&30551	1;0	1;0	10	2;97;236;5		
Khiªu chiÕn §­êng M«n L·o L·o (2)	469	0	§­êng M«n L·o L·o	§­êng M«n L·o L·o	30528	30510		30636&30646&30656&30551	1;0	1;0	10	2;97;236;5		
Khiªu chiÕn Thóy Yªn Ch­ëng M«n (2)	470	0	Sµi Hoµng Nhi	Sµi Hoµng Nhi	30529	30511		30637&30647&30657&30446	1;0	1;0	10	2;97;236;3		
Khiªu chiÕn Ngò §éc Gi¸o Chñ (2)	471	0	B¹ch Doanh Doanh	Ph­¬ng L¹p	30530	30512		30638&30648&30658&30551	1;0	1;0	10	2;97;236;5		
Khiªu chiÕn Minh Gi¸o Gi¸o Chñ	472	0	Ph­¬ng L¹p	Ph­¬ng L¹p	30531	30513		30639&30649&30659&30551	1;0	1;0	10	2;97;236;5		
Khiªu chiÕn Vâ §ang Ch­ëng M«n (2)	473	0	Tö H¹c ch©n nh©n	Tö H¹c ch©n nh©n	30532	30514	30666	30640&30650&30660&30309	1;0	1;0	10	2;97;236;8		
Khiªu chiÕn Vâ L©m Ph­¬ng Tr­îng (2)	474	0	HuyÒn Tõ	Vâ L©m Minh-Kh« Méc §¹i S­	30533	30448		30641&30651&30661&30551	1;0	1;0	10	2;97;236;5		
Khiªu chiÕn C¸i Bang Bang Chñ (2)	475	0	Long T¹i Thiªn	Long T¹i Thiªn	30534	30515		30642&30652&30662&30446	1;0	1;0	10	2;97;236;3		
Khiªu chiÕn D­¬ng M«n Xa Th¸i Qu©n (2)	476	0	Xa Th¸i Qu©n	Xa Th¸i Qu©n	30535	30516		30643&30653&30663&30309	1;0	1;0	10	2;97;236;8		
Khiªu chiÕn C«n L«n (2)	477	0	Chu BÊt HoÆc	Chu BÊt HoÆc	30517	30507			1;0	1;0	10	-1		
Khiªu chiÕn Nga My (2)	478	0	Ch©n Nh­ s­ th¸i	Ch©n Nh­ s­ th¸i	30518	30456			1;0	1;0	10	-1		
Khiªu chiÕn §­êng M«n (2)	479	0	§­êng M«n L·o L·o	§­êng M«n L·o L·o	30519	30456			1;0	1;0	10	-1		
Khiªu chiÕn Thóy Yªn (2)	480	0	Sµi Hoµng Nhi	Sµi Hoµng Nhi	30520	30507			1;0	1;0	10	-1		
Khiªu chiÕn Ngò §éc (2)	481	0	B¹ch Doanh Doanh	B¹ch Doanh Doanh	30521	30456			1;0	1;0	10	-1		
Khiªu chiÕn Minh Gi¸o	482	0	Ph­¬ng L¹p	Ph­¬ng L¹p	30435&30409	30507			1;0	1;0	10	-1		
Khiªu chiÕn Vâ §ang (2)	483	0	Tö H¹c ch©n nh©n	Tö H¹c ch©n nh©n	30522	30456			1;0	1;0	10	-1		
Khiªu chiÕn ThiÕu L©m (2)	484	0	HuyÒn Tõ	HuyÒn Tõ	30523	30456			1;0	1;0	10	-1		
Khiªu chiÕn C¸i Bang (2)	485	0	Long T¹i Thiªn	Long T¹i Thiªn	30524	30507			1;0	1;0	10	-1		
Khiªu chiÕn D­¬ng M«n (2)	486	0	Xa Th¸i Qu©n	Xa Th¸i Qu©n	30525	30456			1;0	1;0	10	-1		
NhiÖm vô v­ît ¶i	487	1				30536&30537		30667	1;0	1;0	10	-1		
N¨m míi trõ ¸c-§¸nh b¹i B¸ §ao TuyÖt	488	1				30538	30674	30668	1;0	1;0	10	-1		
N¨m míi trõ ¸c-§¸nh b¹i Qu©n KiÕm Cuång	489	1				30539	30675	30668	1;0	1;0	10	-1		
N¨m míi trõ ¸c-§¸nh b¹i HuyÔn §ao Tæng Qu¶n	490	1				30540	30676	30668	1;0	1;0	10	-1		
N¨m míi trõ ¸c-§¸nh b¹i HuyÔn KiÕm Tæng Qu¶n	491	1				30541	30677	30668	1;0	1;0	10	-1		
N¨m míi trõ ¸c-§¸nh b¹i Thñ LÜnh Miªu LÜnh TuÇn Tr¹i	492	1				30542	30678	30668	1;0	1;0	10	-1		
N¨m míi trõ ¸c-§¸nh b¹i D· Mao Ng­u C­êng Tr¸ng	493	1				30543	30679	30668	1;0	1;0	10	-1		
N¨m míi trõ ¸c-§¸nh b¹i Hé Ên §¹i Tæng Qu¶n	494	1				30544	30680	30668	1;0	1;0	10	-1		
N¨m míi trõ ¸c-§¸nh b¹i §¹i phu nh©n	495	1				30545	30681	30668	1;0	1;0	10	-1		
N¨m míi trõ ¸c-§¸nh b¹i S¸t Thñ §Çu LÜnh	496	1				30546	30682	30669&30671	1;0	1;0	10	-1		
N¨m míi trõ ¸c-§¸nh b¹i Cung Thñ §Çu LÜnh	497	1				30547	30683	30669&30671	1;0	1;0	10	-1		
N¨m míi trõ ¸c-§¸nh b¹i Th¶o Nguyªn Kh¾c H·n	498	1				30548	30684	30669&30671	1;0	1;0	10	-1		
N¨m míi trõ ¸c-§¸nh b¹i DÞ Téc §Çu Môc	499	1				30549	30685	30669&30671	1;0	1;0	10	-1		
N¨m míi trõ ¸c-§¸nh b¹i Liªu Qu©n Thñ LÜnh	500	1				30550	30686	30669&30671	1;0	1;0	10	-1		
N¨m míi trõ ¸c-§¸nh b¹i S¸t Thñ §Çu LÜnh 2	501	1				30551	30687	30670&30672	1;0	1;0	10	-1		
N¨m míi trõ ¸c-§¸nh b¹i Cung Thñ §Çu LÜnh 2	502	1				30552	30688	30670&30672	1;0	1;0	10	-1		
N¨m míi trõ ¸c-§¸nh b¹i Th¶o Nguyªn Kh¾c H·n 2	503	1				30553	30689	30670&30672	1;0	1;0	10	-1		
Göi lêi chóc xu©n ®Õn A ThÞnh	504	1				30554	30673	30669&30671	1;0	1;0	10	-1		
Göi lêi chóc xu©n ®Õn Chu ThiÖn Nh©n	505	1				30555	30673	30669&30671	1;0	1;0	10	-1		
Göi lêi chóc xu©n ®Õn Tµo §¹i Lùc	506	1				30556	30673	30669&30671	1;0	1;0	10	-1		
Göi lêi chóc xu©n ®Õn Vò N­¬ng	507	1				30557	30673	30669&30671	1;0	1;0	10	-1		
Göi lêi chóc xu©n ®Õn Hµn NghÜa	508	1				30558	30673	30669&30671	1;0	1;0	10	-1		
Göi lêi chóc xu©n ®Õn Tr­¬ng ¶nh 	509	1				30559	30673	30669&30671	1;0	1;0	10	-1		
Göi lêi chóc xu©n ®Õn H¹ HÇu Anh	510	1				30560	30673	30669&30671	1;0	1;0	10	-1		
Göi lêi chóc xu©n ®Õn M·nh Nham	511	1				30561	30673	30669&30671	1;0	1;0	10	-1		
Göi lêi chóc xu©n ®Õn H¹ KiÖt	512	1				30562	30673	30669&30671	1;0	1;0	10	-1		
Göi lêi chóc xu©n ®Õn Chung Phãng	513	1				30563	30673	30669&30671	1;0	1;0	10	-1		
Göi lêi chóc xu©n ®Õn A ThÞnh 2	514	1				30564	30673	30670&30672	1;0	1;0	10	-1		
Göi lêi chóc xu©n ®Õn Chu ThiÖn Nh©n 2	515	1				30565	30673	30670&30672	1;0	1;0	10	-1		
Göi lêi chóc xu©n ®Õn Tµo §¹i Lùc 2	516	1				30566	30673	30670&30672	1;0	1;0	10	-1		
Göi lêi chóc xu©n ®Õn Vò N­¬ng 2	517	1				30567	30673	30670&30672	1;0	1;0	10	-1		
Göi lêi chóc xu©n ®Õn Hµn NghÜa 2	518	1				30568	30673	30670&30672	1;0	1;0	10	-1		
Göi lêi chóc xu©n ®Õn Tr­¬ng ¶nh 2	519	1				30569	30673	30670&30672	1;0	1;0	10	-1		
Xu©n míi tÇm b¶o-ThÊt Trïng ThÊt Hoa T¸n	520	1				30570		30670&30672	1;0	1;0	10	-1		
Xu©n míi tÇm b¶o-Tæ MÉu Lôc Giíi ChØ	521	1				30571		30670&30672	1;0	1;0	10	-1		
Xu©n míi tÇm b¶o-Thiªn Nguyªn Th¹ch-Trung	522	1				30572		30670&30672	1;0	1;0	10	-1		
Xu©n míi tÇm b¶o-§Þa Nguyªn Th¹ch-Trung	523	1				30573		30670&30672	1;0	1;0	10	-1		
Xu©n míi tÇm b¶o-Nh©n Nguyªn Th¹ch-Trung	524	1				30574		30670&30672	1;0	1;0	10	-1		
Nguy hiÓm chùc chê	525	0	Tr­ëng l·o B¸ch HiÓu Sinh	CÊm qu©n	30575&30411		30690	30696	1;0	1;0	10	-1		
û m¹nh hiÕp yÕu	526	0	CÊm qu©n	CÊm qu©n	30002	30576		30697	1;0	1;0	10	-1		
LÇn ®Çu gÆp Thèng LÜnh CÊm Qu©n	527	0	CÊm qu©n	Thèng LÜnh CÊm Qu©n	30002			30698	1;0	1;0	10	-1		
B¾t ®Çu ®iÒu tra	528	0	Thèng LÜnh CÊm Qu©n	D­¬ng NghiÖp	30002			30699	1;0	1;0	10	-1		
Hái t×nh h×nh	529	0	D­¬ng NghiÖp	Ng­êi Bu«n T×nh B¸o	30002			30700	1;0	1;0	10	-1		
Th¨m dß tin tøc	530	0	Ng­êi Bu«n T×nh B¸o	CÈm n­¬ng	30002			30701	1;0	1;0	10	-1		
T×m sù gióp ®ì	531	0	CÈm n­¬ng	CÈm n­¬ng	30002	30577		30702	1;0	1;0	10	2;1;30370;1		
T¹o Ên Th©n y	532	0	CÈm n­¬ng	Ng­êi Bu«n T×nh B¸o	30002	30578	30695	30703	1;0	1;0	10	-1		
LÐn theo dâi	533	0	Ng­êi Bu«n T×nh B¸o	C¬ Quan Gç	30002			30704	1;0	1;0	10	-1		
§ông nhÇm c¬ quan	534	0	C¬ Quan Gç	C¬ Quan Gç	30002	30579		30705	1;0	1;0	10	2;1;30370;1		
TiÕp tôc theo dâi	535	0	C¬ Quan Gç	TrËn Ph¸p C¬ Quan 1	30002			30706	1;0	1;0	10	-1		
Ph¸ TrËn 1	536	0	TrËn Ph¸p C¬ Quan 1	TrËn Ph¸p C¬ Quan 1	30002	30580		30707	1;0	1;0	10	2;97;236;2		
§Õn TrËn Ph¸p 2	537	0	TrËn Ph¸p C¬ Quan 1	TrËn Ph¸p C¬ Quan 2	30002			30708	1;0	1;0	10	-1		
Ph¸ TrËn 2	538	0	TrËn Ph¸p C¬ Quan 2	TrËn Ph¸p C¬ Quan 2	30002	30581		30709	1;0	1;0	10	2;97;236;4		
§Õn TrËn Ph¸p 3	539	0	TrËn Ph¸p C¬ Quan 2	TrËn Ph¸p C¬ Quan 3	30002			30710	1;0	1;0	10	-1		
Ph¸ TrËn 3	540	0	TrËn Ph¸p C¬ Quan 3	TrËn Ph¸p C¬ Quan 3	30002	30582	30734	30711&30691	1;0	1;0	10	2;1;30370;1		
Nghiªn cøu Phï TruyÒn Tèng	541	0	TrËn Ph¸p C¬ Quan 3	V©n Du §¹o Nh©n	30002	30583		30712	1;0	1;0	10	-1		
BiÕt ph­¬ng h­íng	542	0	V©n Du §¹o Nh©n	V©n Du §¹o Nh©n	30002			30692&30713	1;0	1;0	10	-1		
TiÕp tôc truy xÐt 1	543	0	V©n Du §¹o Nh©n	Thi thÓ th­¬ng nh©n	30002			30714	1;0	1;0	10	-1		
TiÕp tôc truy xÐt 2	544	0	Thi thÓ th­¬ng nh©n	Th©n TÝn Thõa T­íng	30002	30584	30693	30715	1;0	1;0	10	-1		
C¶i trang	545	0	Th©n TÝn Thõa T­íng	Th©n TÝn Thõa T­íng	30002			30716	1;0	1;0	10	-1		
T×m chøng cø 1	546	0	Th©n TÝn Thõa T­íng	Thñ LÜnh VÖ Binh	30002			30717	1;0	1;0	10	-1		
T×m chøng cø 2	547	0	Thñ LÜnh VÖ Binh	Thñ LÜnh VÖ Binh	30002			30718	1;0	1;0	10	-1		
Chøng minh thùc lùc	548	0	Thñ LÜnh VÖ Binh	Thñ LÜnh VÖ Binh	30002	30585		30719	1;0	1;0	10	2;1;30370;2		
TiÕp tôc th¸m thÝnh	549	0	Thñ LÜnh VÖ Binh	ThÞ VÖ T­íng phñ	30002			30720	1;0	1;0	10	-1		
§Ó lé vÕt tÝch	550	0	ThÞ VÖ T­íng phñ	Bóa Kú Qu¸i	30002			30721	1;0	1;0	10	-1		
Bóa Kú Qu¸i	551	0	Bóa Kú Qu¸i	Bóa Kú Qu¸i	30002			30722	1;0	1;0	10	-1		
M¹o hiÓm ra ®i	552	0	Bóa Kú Qu¸i	Liªu Quèc Nguyªn So¸i	30002			30723	1;0	1;0	10	-1		
R¬i vµo ®Þch doanh	553	0	Liªu Quèc Nguyªn So¸i	Liªu Quèc Nguyªn So¸i	30002	30586	30735	30724	1;0	1;0	10	2;1;30370;1		
Hái tung tÝch	554	0	Liªu Quèc Nguyªn So¸i	HiÖn tr­êng cßn l¹i	30002			30725	1;0	1;0	10	-1		
ThÊt b¹i lÇn n÷a	555	0	HiÖn tr­êng cßn l¹i	HiÖn tr­êng cßn l¹i	30002			30726	1;0	1;0	10	-1		
§Õn truy b¾t	556	0	HiÖn tr­êng cßn l¹i	DÊu vÕt ch¹y trèn	30002	30587	30736	30727	1;0	1;0	10	2;1;30370;2		
LÇn theo dÊu vÕt	557	0	DÊu vÕt ch¹y trèn	Thõa T­íng BÞ B¾t	30002			30728	1;0	1;0	10	-1		
§Çu ®u«i ngän ngµnh	558	0	Thõa T­íng BÞ B¾t	Thõa T­íng BÞ B¾t	30002			30729	1;0	1;0	10	-1		
Th¨m dß phe ®Þch	559	0	Thõa T­íng BÞ B¾t	Thèng LÜnh CÊm Qu©n	30002	30588	30737	30730	1;0	1;0	10	2;97;236;6		
TËp hîp søc m¹nh	560	0	Thèng LÜnh CÊm Qu©n	Thèng LÜnh CÊm Qu©n	30002			30731	1;0	1;0	10	-1		
Bang héi hïng m¹nh	561	0	Thèng LÜnh CÊm Qu©n	Thèng LÜnh CÊm Qu©n	30002	30589		30732	1;0	1;0	10	2;1;30370;3		
DÜ thµnh vi y	562	0	Thèng LÜnh CÊm Qu©n	Thèng LÜnh CÊm Qu©n	30002			30694&30733	1;0	1;0	10	-1		
Ma Vùc XuÊt ThÕ	563	0	Tô B¶o C¸c LiÔu B¨ng Thanh	Tô B¶o C¸c LiÔu B¨ng Thanh		30590		30739	1;0	1;0	-1	-1		
Th¸m hiÓm tiÕp Ma Vùc	564	0	Tô B¶o C¸c LiÔu B¨ng Thanh	Tô B¶o C¸c LiÔu B¨ng Thanh	30002	30591	30740	30739	1;0	1;0	-1	-1		
LÇn ®Çu tiÕp xóc	565	0	Tô B¶o C¸c LiÔu B¨ng Thanh	T­íng Lý HuyÒn S¸ch	30002			30739	1;0	1;0	-1	-1		
§iÒu kiÖn	566	0	T­íng Lý HuyÒn S¸ch	TrÇn Lçi	30002			30739	1;0	1;0	-1	-1		
Kinh biÕn	567	0	TrÇn Lçi	T­íng Lý HuyÒn S¸ch	30002	30594		30742	1;0	1;0	-1	-1		
Trë VÒ TÜnh LÆng	568	0	T­íng Lý HuyÒn S¸ch	Tô B¶o C¸c LiÔu B¨ng Thanh	30002			30739	1;0	1;0	-1	-1		
