Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Sè thø tù mËt tŞch	L­u	id kü n¨ng (dïng ph¸n ®o¸n lo¹i trõ)	L­u	L­u	L­u	L­u	L­u	L­u	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	L­u ( Ch÷ sè)	L­u ph¸i (L­u ph¸i id. Kh«ng ®iÒn hoÆc mÆc ®Şnh sè nhá h¬n 0 ®Òu cã thÓ t¶i)	L­u ( Ch÷ sè)	
TrËn LiÖu quyÕt	2	6	133	1	1	1	133		736									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Gióp môc tiªu t¨ng c­êng tû lÖ néi ngo¹i phßng trong 4 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
Håi Long TiÔn quyÕt	2	6	134	1	1	1	134		737									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn môc tiªu gi¶m tèc ®é di chuyÓn trong 6 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
TriÒn V©n TiÔn quyÕt	2	6	135	1	1	1	135		738									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> Sau khi c«ng kİch môc tiªu cã x¸c xuÊt khãa chiªu khinh c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
Kú M«n §én quyÕt	2	6	136	1	1	1	136		739									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> D­íi tr¹ng th¸i khiªn cã x¸c xuÊt tr¸nh cho¸ng, lo¹n, h«n mª		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
Khİ TiÔn quyÕt	2	6	137	1	1	1	137		740									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> Cã x¸c xuÊt khiÕn môc tiªu chËm trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
To¸i TiÔn quyÕt	2	6	138	1	1	1	138		741									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn môc tiªu gi¶m tû lÖ phßng ngù ngo¹i c«ng trong 5 gi©y, ®iÓm sè phßng ngù ngo¹i c«ng gi¶m		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
HuyÔn ThÇn quyÕt	2	6	139	1	1	1	139		742									\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Rót ng¾n thêi gian gi·n c¸ch, t¨ng lùc c«ng kİch ngo¹i c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
Tôc MÖnh quyÕt	2	6	140	1	1	1	140		743									\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng giíi h¹n sinh lùc, t¨ng giíi h¹n néi lùc		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
L­u TuyÖt TiÔn quyÕt	2	6	141	1	1	1	141		744									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
Bİ kiÕp Ngò §éc §ao Ph¸p	2	6	142	1	1	1	142		365									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Gi¶m thêi gian ®Şnh th©n, gi¶m tèc, t¨ng tû lÖ phßng ngù néi ngo¹i c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Bİ kiÕp DÉn Hån Chó	2	6	143	1	1	1	143		366									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn môc tiªu gi¶m tû lÖ phßng ngù 		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Bİ kiÕp Thao Thi ThuËt	2	6	144	1	1	1	144		367									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> T¨ng ®é bÒn cña thi		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Bİ kiÕp Thi §éc ThuËt	2	6	145	1	1	1	145		368									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KhiÕn môc tiªu kĞo giµn gi¶n c¸ch sö dông vâ c«ng trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Bİ kiÕp Thi Béc §¹i Ph¸p	2	6	146	1	1	1	146		369									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Bİ kiÕp TËp Thi Tµ Khİ	2	6	147	1	1	1	147		370									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> T¨ng tèc ®é thi triÓn cña tÊt c¶ tµ chó phôc sinh		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Bİ kiÕp Ngù Thi ThuËt	2	6	148	1	1	1	148		371									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> T¨ng lùc c«ng kİch cña thi		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Bİ kiÕp V¹n §éc §o¹t MÖnh §ao	2	6	149	1	1	1	149		372									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> T¨ng tû lÖ nh¸t ®ao cuèi cïng mang s¸t th­¬ng ®éc trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Bİ kiÕp ¢m Tµ HÊp Hån Khİ	2	6	150	1	1	1	150		373									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch, t¨ng tû lÖ phßng ngù néi ngo¹i c«ng khi thi triÓn		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Bİ kiÕp Th«i Thi Tµ Khİ	2	6	151	1	1	1	151		374									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Håi sinh lùc cho thi		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Bİ kiÕp Tµ Linh §¹i Ph¸p	2	6	152	1	1	1	152		375									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> C«ng kkisch miÔn hån kÌm ®éc s¸t trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Bİ kiÕp Tµ §éc C«ng	2	6	153	1	1	1	153		376									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Gióp c­¬ng thi cã tû lÖ nhÊt ®Şnh nĞ tr¸nh phÇn lín hiÖu qu¶ g©y h¹i		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Bİ kiÕp Thi LiÖt Ma C«ng	2	6	154	1	1	1	154		377									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		20		
Bİ kiÕp H¹ Cæ MËt Ph­¬ng	2	6	155	1	1	1	155		348									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Sau khi sö dông cã x¸c xuÊt tiªu trõ gi¶n c¸ch thêi gian sö dông Cæ ThuËt		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Bİ kiÕp Phong Cæ	2	6	156	1	1	1	156		351									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> T¨ng tèc ®é thi triÓn Phong Cæ, V¹n Cæ Thùc Thiªn		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Bİ kiÕp D­ìng Cæ Bİ ThuËt	2	6	157	1	1	1	157		352									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng tèc ®é chÕ t¹o thøc ¨n		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Bİ kiÕp Cuång Phong Tr¶o	2	6	158	1	1	1	158		353									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> Më réng ph¹m vi thi triÓn		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Bİ kiÕp §éc Cæ	2	6	159	1	1	1	159		354									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KĞo dµi thêi gian duy tr×, gi¶m søc m¹nh môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Bİ kiÕp HuyÕt §Ønh C«ng	2	6	160	1	1	1	160		355									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng tèc ®é di chuyÓn		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Bİ kiÕp HuyÕt Cæ	2	6	161	1	1	1	161		356									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KĞo dµi thêi gian duy tr×, khiÕn môc tiªu gi¶m g©n cè		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Bİ kiÕp H­¬ng Cæ	2	6	162	1	1	1	162		357									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Cã x¸c xuÊt t¨ng 20% tû lÖ phßng ngù néi ngo¹i c«ng khi bŞ c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Bİ kiÕp Thi Cæ	2	6	163	1	1	1	163		358									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KĞo dµi thêi gian duy tr×, khiÕn môc tiªu gi¶m th©n ph¸p		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Bİ kiÕp Yªu Cæ	2	6	164	1	1	1	164		359									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Mçi gi©y gi¶m tr¹ng th¸i g©y h¹i, mçi gi©y håi phôc sinh lùc, duy tr× trong 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Bİ kiÕp T©m Cæ	2	6	165	1	1	1	165		360									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KĞo dµi thêi gian duy tr×, khiÕn môc tiªu gi¶m néi c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Bİ kiÕp V¹n Cæ Thùc Thiªn	2	6	166	1	1	1	166		361									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> KĞo dµi thêi gian duy tr×, gi¶m tiªu hao néi lùc		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Bİ kiÕp HuyÔn Cæ	2	6	167	1	1	1	167		362									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Khi sö dông vâ c«ng cã x¸c xuÊt kh«ng bá qua gi¶n c¸ch sö dông		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
Bİ kiÕp Tµm Cæ	2	6	168	1	1	1	168		363									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>T¨ng tèc ®é xuÊt chiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		21		
YÕu quyÕt L«i TÕ	2	6	169	1	1	1	169	1	1018									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	Gióp tÊt c¶ c¸c c«ng kİch hÖ L«i cã tû lÖ [<color=Gold>10<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch khiÕn môc tiªu tª liÖt 1 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Yªu quyÕt Ph«ng TÕ	2	6	170	1	1	1	170	2	1019									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	ë tr¹ng th¸i hÖ Phong tû lÖ chŞu ®ßn gi¶m nöa [<color=Gold>15<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch 		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Yªu quyÕt Thiªn L«i Phï	2	6	171	1	1	1	171	3	1020									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	Gi¶m tû lÖ phßng ngù néi c«ng ®èi ph­¬ng trong 10 gi©y [<color=Gold>25<color=White>]%<color=Blue1>x<color=White> MËt tŞch hç trî tÊn c«ng t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Yªu quyÕt B¨ng Phong QuyÕt	2	6	172	1	1	1	172	4	1021									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	KhiÕn phßng ngù néi c«ng cña môc tiªu trong 5 gi©y gi¶m [<color=Gold>300<color=White>]<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch c«ng kİch néi c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Yªu quyÕt Ngù Phong QuyÕt	2	6	173	1	1	1	173	5	1022									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	Gi·n c¸ch thêi gian rót ng¾n [<color=Gold>5<color=White>] gi©y <color=Blue1>x<color=White> t¨ng hç trî mËt tŞch phßng ngù<enter>Tû lÖ xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù 		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Yªu quyÕt Cuån L«i Phï	2	6	174	1	1	1	174	6	1023									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	KÌm theo lùc c«ng [<color=Gold>200<color=White>]<color=Blue1> x<color=White> t¨ng mËt tŞch tÊn c«ng néi c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Yªu quyÕt D­¬ng Sa QuyÕt	2	6	175	1	1	1	175	7	1025									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	Sinh lùc tèi ®a t¨ng [<color=Gold>15<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Yªu quyÕt Hèng L«i Phï	2	6	176	1	1	1	176	8	1024									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	KhiÕn vâ c«ng môc tiªu trong thêi gian 10 gi©y gi·n c¸ch sö dông kĞo dµi [<color=Gold>15<color=White>]%<color=Blue1> x<color=White> t¨ng mËt tŞch tÊn c«ng néi c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Yªu quyÕt Canh Phong QuyÕt	2	6	177	1	1	1	177	9	1026									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	KhiÕn lùc c«ng ngo¹i c«ng cña môc tiªu trong 10 gi©y gi¶m [<color=Gold>15<color=White>]%<color=Blue1> x<color=White> t¨ng mËt tŞch tÊn c«ng néi c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Yªu quyÕt B¹o L«i Phï	2	6	178	1	1	1	178	10	1027									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	X¸c suÊt xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> TÊn c«ng néi c«ng mËt tŞch t¨ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Yªu quyÕt Tiªu Phong L­u T¸n	2	6	179	1	1	1	179	11	1028									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	Khi sinh lùc d­íi 35%<enter>tû lÖ phßng ngù ngo¹i c«ng t¨ng [<color=Gold>15<color=White>]%<color=Blue1> x<color=White> t¨ng hç trî mËt tŞch phßng ngù		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Yªu quyÕt Ngò L«i Chİnh Ph¸p	2	6	180	1	1	1	180	12	1029									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	Gi·n c¸ch sö dông rót ng¾n [<color=Gold>36<color=White>] gi©y <color=Blue1>x<color=White> t¨ng mËt tŞch tÊn c«ng néi c«ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Yªu quyÕt V¹n L«i To¸i Tinh	2	6	181	1	1	1	181	13	1030									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	X¸c suÊt xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> TÊn c«ng néi c«ng mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Yªu quyÕt HuyÒn Phong TriÒn ı	2	6	182	1	1	1	182	14	1031									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	Tû lÖ xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> t¨ng hç trî mËt tŞch phßng ngù		QuyÕt YÕu	\script\item\addenda.lua	7	0		23		
Th¸nh Háa §ao Ph¸p QuyÕt YÕu	2	6	183	1	1	1	183	1	1054									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	[<color=Gold>75<color=White>]%<color=Blue1>x<color=White>MËt tŞch Ngo¹i c«ng t¨ng c«ng kİch  Tû lÖ C«ng kİch th­êng xong phôc håi 1 «Né khİ		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Yªu quyÕt Kim L­ Hé ThÓ	2	6	184	1	1	1	184	2	1055									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	100% Sau khi nhËn ®­îc c«ng kİch 3s n©ng cao ®¸nh ngo¹i c«ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White>MËt tŞch Thªm phßng ngù phô trî:		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Yªu quyÕt LiÖt Diªm Tr¶m	2	6	185	1	1	1	185	3	1056									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	Gi¶m tû lÖ phßng ngù ngo¹i c«ng ®èi ph­¬ng trong 10 gi©y [<color=Gold>25<color=White>]%<color=Blue1>x<color=White> C«ng kİch ngo¹i c«ng mËt tŞch t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Yªu quyÕt Sİ Diªm Kİch	2	6	186	1	1	1	186	4	1057									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	C«ng kİch th­êng cã [<color=Gold>50<color=White>]%<color=Blue1>x<color=White>MËt tŞch Thªm c«ng kİch phô trî:  Tû lÖ lµm cho môc tiªu Gi¶m tèc[<color=Gold>35<color=White>]%<color=Blue1>x<color=White>MËt tŞch Thªm c«ng kİch phô trî: Duy tr× 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Yªu quyÕt Thiªn KiÕp PhÇn	2	6	187	1	1	1	187	5	1058									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	C«ng kİch lµm néi lùc kÎ thï gi¶m [<color=Gold>5<color=White>]%<color=Blue1>x<color=White>MËt tŞch Ngo¹i c«ng t¨ng c«ng kİch 		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Yªu quyÕt Ng­ng Háa Bİch	2	6	188	1	1	1	188	6	1059									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	Gi·n c¸ch thêi gian rót ng¾n  [<color=Gold>20<color=White>]% gi©y<color=Blue1>x<color=White> hiªu qu¶ MËt tŞch hç trî phßng thï		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Yªu quyÕt Cuång DiÖm B«n	2	6	189	1	1	1	189	7	1060									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	[<color=Gold>100<color=White>]%<color=Blue1>x<color=White>MËt tŞch Ngo¹i c«ng t¨ng c«ng kİch, Tû lÖ trong qu¸ tr×nh xung kİch nhËn ®­îc Tr¹ng th¸i miÔn dŞch		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Yªu quyÕt Chİch Phong Toµn	2	6	190	1	1	1	190	8	1061									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	TuyÒn Phong c«ng kİch ph¹m vi réng [<color=Gold>9<color=White>]«<color=Blue1>x<color=White>MËt tŞch Ngo¹i c«ng t¨ng c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Yªu quyÕt B¸ Hoµng §o¹n	2	6	191	1	1	1	191	9	1062									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	Cã [<color=Gold>10<color=White>]%<color=Blue1>x<color=White>MËt tŞch Ngo¹i c«ng t¨ng c«ng kİch  Tû lÖ hoµn toµn bá qua nĞ tr¸nh cña môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Yªu quyÕt Khİ Hãa Du Long	2	6	192	1	1	1	192	10	1063									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	N©ng cao tû lÖ v« hiÖu kİch lui [<color=Gold>50<color=White>]%<color=Blue1>x<color=White>MËt tŞch Thªm phßng ngù phô trî: 		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Yªu quyÕt D­¬ng Diªm B¹o	2	6	193	1	1	1	193	11	1064									\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	Thªm s¸t th­¬ng c«ng kİch[<color=Gold>1000<color=White>]%<color=Blue1>x<color=White> hiªu qu¶ MËt tŞch hç trî tÊn c«ng ngo¹i c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		25		999
Yªu quyÕt B¹o S¸t KiÕp	2	6	194	1	1	1	194	12	1065									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	Tû lÖ xuÊt chiªu tÊt c¶ kÜ n¨ng b¶n th©n t¨ng [<color=Gold>10%<color=White>]<color=Blue1>x<color=White>MËt tŞch Ngo¹i c«ng t¨ng c«ng kİch  Duy tr× 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		25	999	
Quang Minh Bót Ph¸p QuyÕt YÕu	2	6	195	1	1	1	195	1	1084									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	§iÓm chİnh x¸c vÜnh viÔn t¨ng [<color=Gold>10%<color=White>]<color=Blue1>x<color=White>MËt tŞch Thªm c«ng kİch phô trî:		QuyÕt YÕu	\script\item\addenda.lua	7	0		26	999	
Yªu quyÕt Kim Táa TrËn	2	6	196	1	1	1	196	2	1085									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	X¸c suÊt xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> mËt tŞch hç tr¬ tÊn c«ng t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
Yªu quyÕt YÕn Kú LÖnh	2	6	197	1	1	1	197	3	1086									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	Gi·n c¸ch thêi gian rót ng¾n  [<color=Gold>5<color=White>]% gi©y<color=Blue1>x<color=White> hiªu qu¶ MËt tŞch hç trî tÊn c«ng ngo¹i c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
Yªu quyÕt HuyÒn Thñy TrËn	2	6	198	1	1	1	198	4	1087									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	X¸c suÊt xuÊt chiªu t¨ng [<color=Gold>10<color=White>]%<color=Blue1>x<color=White> mËt tŞch hç tr¬ tÊn c«ng t¨ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		26		999
