ID	Disc	Type	SkillID1	SrcSkillID1	Magic1	Target1	Value1	Value1Fixup	Rate1	Rate1Fixup	Time1	Time1Fixup	WhenEffect1	Requirement1	SkillID2	Magic2	Target2	Value2	Value2Fixup	Rate2	Rate2Fixup	Time2	Time2Fixup	WhenEffect2	Requirement2	SkillID3	Magic3	Target3	Value3	Value3Fixup	Rate3	Rate3Fixup	Time3	Time3Fixup	WhenEffect3	Requirement3	SkillID4	Magic4	Target4	Value4	Value4Fixup	Rate4	Rate4Fixup	Time4	Time4Fixup	WhenEffect4	Requirement4	SkillID5	Magic5	Target5	Value5	Value5Fixup	Rate5	Rate5Fixup	Time5	Time5Fixup	WhenEffect5	Requirement5	SkillID6	Magic6	Target6	Value6	Value6Fixup	Rate6	Rate6Fixup	Time6	Time6Fixup	WhenEffect6	Requirement6	SkillID7	Magic7	Target7	Value7	Value7Fixup	Rate7	Rate7Fixup	Time7	Time7Fixup	WhenEffect7	Requirement7	SkillID8	Magic8	Target8	Value8	Value8Fixup	Rate8	Rate8Fixup	Time8	Time8Fixup	WhenEffect8	Requirement8	SkillID9	Magic9	Target9	Value9	Value9Fixup	Rate9	Rate9Fixup	Time9	Time9Fixup	WhenEffect9	Requirement9	SkillID10	Magic10	Target10	Value10	Value10Fixup	Rate10	Rate10Fixup	Time10	Time10Fixup	WhenEffect10	Requirement10
165	<color=Gold>T©m Cæ<color=White>: Duy tr× t¨ng <color=Blue1>[=Value5]%<color=White>, néi c«ng ®èi ph­¬ng gi¶m <color=Blue1>[=Value1]<color=White>	3	360		state_energy_dec	1	80			1	-1	1	1		397	state_energy_dec	1	80			1	-1	1	1		398	state_energy_dec	1	80			1	-1	1	1		399	state_energy_dec	1	80			1	-1	1	1		360	state_skill_persist_time_add	0	50			1	21	1	0		397	state_skill_persist_time_add	0	50			1	21	1	0		398	state_skill_persist_time_add	0	50			1	21	1	0		399	state_skill_persist_time_add	0	50			1	21	1	0																							
166	<color=Gold>V¹n Cæ Thùc Thiªn<color=White>: rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>, néi lùc tiªu hao gi¶m <color=Blue1>[=Value2]%<color=White>	2	361		state_cast_interval_reduce	0	108			1	-3	1	8		361	state_mana_cost_reduce	0	50			1	1	1	0																																																																																									
167	<color=Gold>HuyÔn Cæ<color=White>: Khi sö dông vâ c«ng cã tû lÖ <color=Blue1>[=Value1]% <color=White> kh«ng tÝnh kho¶ng c¸ch thêi gian	4	362		state_interval_ignore	1	10			1	-1	1	1																																																																																																				
168	<color=Gold>Tµm Cæ<color=White>: Tèc ®é thi triÓn t¨ng <color=Blue1>[=Value1]%<color=White>	3	363		state_burst_enhance_rate	0	50			1	-3	1	8																																																																																																				
169	<color=Gold>L«i TÕ<color=White>: Gióp tÊt c¶ c¸c c«ng kÝch hÖ L«i ®Òu cã <color=Blue1>[=Value1]% <color=White>tû lÖ khiÕn môc tiªu tª liÖt 1 gi©y<color=White>	3	1018		state_paralysis_attack	1	10			1	-1	1	1																																																																																																				
170	<color=Gold>Phong TÕ<color=White>: trong tr¹ng th¸i hÖ Phong cã tû lÖ gi¶m n÷a s¸t th­¬ng <color=Blue1>[=Value1]% <color=White>	4	1019		state_receive_half_damage	1	15			1	-1	1	1																																																																																																				
171	<color=Gold>Thiªn L«i Phï<color=White>: KhiÕn tû lÖ phßng ngù cña môc tiªu gi¶m <color=Blue1>[=Value1]% trong 10 gi©y.	2	1020		state_magic_parmor_per_dec	1	25			1	180	1	1		1035	state_magic_parmor_per_dec	1	25			1	180	1	1																																																																																									
172	<color=Gold>B¨ng Phong QuyÕt<color=White>: KhiÕn ®iÓm phßng ngù néi c«ng môc tiªu gi¶m <color=Blue1>[=Value1]<color=White> trong 5 gi©y	2	1021		state_neili_defence_point_dec	1	300			1	90	1	1		1036	state_neili_defence_point_dec	1	300			1	90	1	1																																																																																									
173	<color=Gold>Ngù Phong QuyÕt<color=White>: Gi·n c¸ch thêi gian rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y, tû lÖ xuÊt chiªu 1 t¨ng <color=Blue1>[=Value2]%<color=White>	4	1022		state_cast_interval_reduce	0	90			1	-3	1	8		1022	state_sub1_rate_add	0	10			1	-3	1	8																																																																																									
174	<color=Gold>Cuång L«i Phï<color=White>: T¨ng lùc c«ng <color=Blue1>[=Value1]<color=White>	2	1023		imme_damage_life	1	200			1			1		1038	imme_damage_life	1	200			1			1																																																																																									
175	<color=Gold>D­¬ng Sa QuyÕt<color=White>: Giíi h¹n sinh lùc t¨ng <color=Blue1>[=Value1]%<color=White>	4	1025		state_life_max_percent_add	0	15			1	-3	1	8																																																																																																				
176	<color=Gold>Oanh L«i Phï<color=White>: KhiÕn môc tiªu gi·n c¸ch sö dông kü n¨ng kÐo dµi <color=Blue1>[=Value1]%<color=White> trong 10 gi©y	2	1024		state_skill_cast_interval_add	1	15			1	180	1	1		1039	state_skill_cast_interval_add	1	15			1	180	1	1																																																																																									
177	<color=Gold>Canh Phong QuyÕt<color=White>: KhiÕn lùc néi ngo¹i c«ng môc tiªu gi¶m <color=Blue1>[=Value1]% trong 10 gi©y.	2	1026		state_p_attack_percent_dec	1	15			1	180	1	1		1026	state_m_attack_percent_dec	1	15			1	180	1	1		1041	state_p_attack_percent_dec	1	15			1	180	1	1		1041	state_m_attack_percent_dec	1	15			1	180	1	1																																																																			
178	<color=Gold>B¹o L«i Phï<color=White>: Tû lÖ xuÊt chiªu 1 t¨ng <color=Blue1>[=Value1]%<color=White>	2	1027		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
179	<color=Gold>Tiªn Phong L­u T¸n QuyÕt<color=White>: Khi sinh lùc d­íi 35%, tû lÖ phßng ngù ngo¹i c«ng t¨ng <color=Blue1>[=Value1>]% <color=White>	4	1028		state_physical_parmor_per_add_when_life_less_than_per	1	2293775	2		1	-1	1	1		1043	state_physical_parmor_per_add_when_life_less_than_per	1	2293775	2		1	-1	1	1																																																																																									
180	<color=Gold>Ngò L«i ChÝnh Ph¸p Phï<color=White>: Gi·n c¸ch sö dông rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y	2	1029		state_cast_interval_reduce	0	648			1	-3	1	8																																																																																																				
181	<color=Gold>V¹n L«i To¸i Tinh Phï<color=White>: Tû lÖ xuÊt chiªu 1 t¨ng <color=Blue1>[=Value1]%<color=White>	2	1030		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
182	<color=Gold>HuyÒn Phong TriÒn ý QuyÕt<color=White>: Tû lÖ xuÊt chiªu 1 t¨ng <color=Blue1>[=Value1]%<color=White>	4	1031		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
183	<color=Gold>Th¸nh Háa §ao Ph¸p<color=White>: <color=Blue1>[=Rate1]% <color=White> tû lÖ sau khi tÊn c«ng th­êng sÏ phôc håi 1 « né khÝ<color=White>	1	1201	1054	imme_agggas_point	0	1	1	75				1																																																																																																				
184	<color=Gold>Kim L« Hé ThÓ<color=White>: Tû lÖ 100% sau 3 gi©y chÞu tÊn c«ng, lùc ®¸nh ngo¹i c«ng t¨ng <color=Blue1>[=Value1]%<color=White>	4	1055		state_p_attack_percent_add	0	10		100	1	54	1	7		1068	state_p_attack_percent_add	0	10		100	1	54	1	7																																																																																									
185	<color=Gold>LiÖt D¹ng Tr¶m<color=White>: KhiÕn tû lÖ phßng thñ ngo¹i c«ng cña môc tiªu trong 10 gi©y gi¶m <color=Blue1>[=Value1]%	1	1056		state_physical_parmor_per_dec	1	25			1	180	1	1		1070	state_physical_parmor_per_dec	1	25			1	180	1	1		1069	state_physical_parmor_per_dec	1	25			1	180	1	1																																																																														
186	<color=Gold>SÝ Viªm KÝch<color=White>: C«ng kÝch th­êng cã <color=Blue1>[=Rate1]% <color=White> khiÕn môc tiªu gi¶m tèc<color=Blue1>[=Value1]%<color=White> duy tr× 2 gi©y	3	1199	1057	state_slow	1	35	1	50		36	1	1																																																																																																				
187	<color=Gold>Thiªn KiÕp PhÇn<color=White>: TÊn c«ng khiÕn kÎ thï gi¶m néi lùc <color=Blue1>[=Value1]% <color=White>	1	1058		imme_mana_percent_damage	1	5			1			1		1072	imme_mana_percent_damage	1	5			1			1																																																																																									
188	<color=Gold>Ng­ng Háa BÝch<color=White>: Thêi gian gi·n c¸ch rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	4	1059		state_cast_interval_reduce	0	360			1	-3	1	8																																																																																																				
189	<color=Gold>Cuång DiÖm B«n<color=White>: <color=Blue1>[=Rate1]% <color=White> tû lÖ trong qu¸ tr×nh xung thÝch miÔn dÞch tÊt c¶ tr¹ng th¸i phô <color=White>	1	1060		state_immune	0		1	100		54	1	1		1074	state_immune	0		1	100		54	1	1																																																																																									
190	<color=Gold>ChÝch Phong Toµn<color=White>: Ph¹m vi tÊn c«ng cña Toµn Phong më réng <color=Blue1>[=Value1] <color=White>«	1	1061		state_missle_damage_range_add	0	9			1	2	1	0		1075	state_missle_damage_range_add	0	9			1	2	1	0																																																																																									
191	<color=Gold>B¸ Hoµng §o¹n<color=White>: Cã tû lÖ <color=Blue1>[=Value1]% <color=White> hoµn toµn bá qua nÐ tr¸nh cña môc tiªu<color=White>	1	1062		state_ignore_dodge	1	10			1	-1	1	1		1076	state_ignore_dodge	1	10			1	-1	1	1																																																																																									
192	<color=Gold>KhÝ Hãa Du Long<color=White>: Tû lÖ v« hiÖu hãa ®¸nh lui t¨ng <color=Blue1>[=Value1]% <color=White>	4	1063		state_knockback_immune	0	50			1	-3	1	8																																																																																																				
193	<color=Gold>D­¬ng Viªm B¹o<color=White>: kÌm theo s¸t th­¬ng <color=Blue1>[=Value1]<color=White>	1	1064		imme_damage_life	1	1000			1			1		1078	imme_damage_life	1	1000			1			1																																																																																									
194	<color=Gold>B¹o S¸t K×nh<color=White>: Tû lÖ thi triÓn tÊt c¶ kü n¨ng cña b¶n th©n t¨ng <color=Blue1>[=Value1]%<color=White> duy tr× 5 gi©y	1	1065		state_cast_technique_rate	0	10			1	90	1	1		1079	state_cast_technique_rate	0	10			1	90	1	1																																																																																									
195	<color=Gold>Quang Minh Bót Ph¸p<color=White>: §iÒm chÝnh x¸c vÜnh viÔn t¨ng <color=Blue1>[=Value1]%<color=White>	3	1084		state_accuracy_percent_adjust	0	100			1	-3	1	8																																																																																																				
196	<color=Gold>Kim Táa TrËn<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	3	1085		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
197	<color=Gold>YÕn Kú LÖnh<color=White>: Thêi gian gi·n c¸ch rót ng¾n  <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	1	1086		state_cast_interval_reduce	0	90			1	-3	1	8																																																																																																				
198	<color=Gold>HuyÒn Thñy TrËn<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	3	1087		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
199	<color=Gold>Phong Binh LÖnh<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	4	1088		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
200	<color=Gold>Bµn Méc TrËn<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	3	1089		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
201	<color=Gold>TÊn ¶nh LÖnh<color=White>: Thêi gian gi·n c¸ch rót ng¾n  <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	4	1090		state_cast_interval_reduce	0	810			1	-3	1	8		1104	state_cast_interval_reduce	0	810			1	-3	1	8																																																																																									
202	<color=Gold>Cµn Kh«n NghÞch ChuyÓn<color=White>: Sau khi trao ®æi, tèc ®é di chuyÓn cña 10 môc tiªu gi¶m <color=Blue1>[=Value1]% <color=White> duy tr× 2 gi©y	4	1091		state_slow	1	10			1	36	1	1		1105	state_slow	1	10			1	36	1	1																																																																																									
203	<color=Gold>NghiÖp Háa TrËn<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	1	1092		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
204	<color=Gold>Thæ Lao TrËn<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	4	1093		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
205	<color=Gold>Ngò Linh T¸n Nguyªn<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	1	1094		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
206	<color=Gold>Ngò Linh Quy Nguyªn<color=White>: T¨ng tû lÖ phßng thñ néi ngo¹i c«ng cña môc tiªu <color=Blue1>[=Value1]% <color=White>	4	1095		state_physical_parmor_poi_add	1	5			1	-1	1	1		1095	state_magic_parmor_poi_add	1	5			1	-1	1	1		1110	state_physical_parmor_poi_add	1	5			1	-1	1	1		1110	state_magic_parmor_poi_add	1	5			1	-1	1	1																																																																			
207	<color=Gold>§o¹n Cèt Tr¶o<color=White>: Ph¹m vi xuÊt chiªu më réng <color=Blue1>[=Value1]%<color=White>	2	1132		state_skill_use_range_add	0	150			1	-3	1	8																																																																																																				
208	<color=Gold>Hñ Th­¬ng Än<color=White>: Trong 3 gi©y khiÕn tèc ®é di chuyÓn cña môc tiªu gi¶m <color=Blue1>[=Value1]% 	2	1133		state_slow	1	40			1	54	1	1		1146	state_slow	1	40			1	54	1	1																																																																																									
209	<color=Gold>Thanh Dùc Bé Ph¸p<color=White>: <color=Blue1>[=Rate1]% <color=White> sau khi sö dông, b¶n th©n t¨ng 40% tèc ®é di chuyÓn duy tr× 3 gi©y<color=White>	4	1134		state_move_speed_percent_add	0	40	1	75		54	1	0		1147	state_move_speed_percent_add	0	40	1	75		54	1	0																																																																																									
210	<color=Gold>B¨ng HuyÕt Än<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	2	1135		state_sub1_rate_add	0	10			1	-3	1	8		.																																																																																																		
211	<color=Gold>HÊp HuyÕt Än<color=White>: Giíi h¹n sinh lùc vÜnh viÔn t¨ng <color=Blue1>[=Value1]% 	2	1136		state_life_max_percent_add	0	15			1	-3	1	8																																																																																																				
212	<color=Gold>Hµn HuyÕt Än<color=White>: Gi·n c¸ch sö dông rót ng¾n <color=Blue1>[=Value1/18] <color=White> gi©y	3	1137		state_cast_interval_reduce	0	270			1	-3	1	8																																																																																																				
213	<color=Gold>ThÝch Cèt Än<color=White>: Lùc tÊn c«ng c¬ b¶n néi c«ng t¨ng <color=Blue1>[=Value1]%<color=White>	3	1138		state_m_attack_percent_add	0	10			1	-3	1	8																																																																																																				
214	<color=Gold>Truy Hån Än<color=White>: Gi·n c¸ch sö dông rót ng¾n <color=Blue1>[=Value1/18] <color=White> gi©y	2	1139		state_cast_interval_reduce	0	648			1	-3	1	8																																																																																																				
215	<color=Gold>ThÝ C¶nh Tr¶o<color=White>: KhiÕn tû lÖ phßng thñ néi c«ng cña môc tiªu trong 10 gi©y gi¶m <color=Blue1>[=Value1]%	2	1140		state_magic_parmor_per_dec	1	25			1	180	1	1		1153	state_magic_parmor_per_dec	1	25			1	180	1	1																																																																																									
216	<color=Gold>Hµn B¨ng HuyÕt Ch­íng<color=White>: §iÓm nÐ tr¸nh vÜnh viÔn t¨ng <color=Blue1>[=Value1]%<color=White>	4	1141		state_dodge_percent_adjust	0	100			1	-3	1	8																																																																																																				
217	<color=Gold>Hãa HuyÕt Än<color=White>:  Tû lÖ miÔn dÞch hçn lo¹n <color=Blue1>[=Value1]%<color=White>	4	1142		state_confusion_immune	0	45			1	-3	1	8																																																																																																				
218	<color=Gold>VÉn Th­¬ng Än<color=White>: Tiªu hao sinh lùc b¶n th©n gi¶m <color=Blue1>[=Value1]%<color=White>	2	1143		state_life_cost_reduce	0	10			1	1	1	0																																																																																																				
219	<color=Gold>Khëi Vò<color=White>: Trong tr¹ng th¸i Khëi Vò tû lÖ ng­ng chiªu vò ®¹o gi¶m <color=Blue1>[=Value1]% <color=White>	3	1166		state_interrupt_rate_dec	1	10			1	-1	1	1																																																																																																				
220	<color=Gold>Linh Miªu VËn<color=White>: T¨ng s¸t th­¬ng Linh Miªu VËn ®èi víi qu¸i <color=Blue1>[=Value1]% <color=White>	1	1167		state_attack_npc_add_spec	0	150			1	19	1	0		1177	state_attack_npc_add_spec	0	150			1	19	1	0		1184	state_attack_npc_add_spec	0	150			1	19	1	0																																																																														
221	<color=Gold>Vò V©n T©m Ph¸p<color=White>: Trong tr¹ng th¸i Khëi Vò cã <color=Blue1>[=Value1]% <color=White>tû lÖ håi ®¸nh lui, ®¸nh ng·<color=White>	4	1168		state_knockdown_immune	0	50			1	-3	1	8		1168	state_knockback_immune	0	50			1	-3	1	8																																																																																									
222	<color=Gold>Mi Hoa<color=White>: Gi·n c¸ch sö dông rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y <color=White>	1	1169		state_cast_interval_reduce	0	90			1	-3	1	8																																																																																																				
223	<color=Gold>§o¹n V©n QuyÕt<color=White>: Gi·n c¸ch sö dông rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	4	1170		state_cast_interval_reduce	0	72			1	-3	1	8		1186	state_cast_interval_reduce	0	72			1	-3	1	8																																																																																									
224	<color=Gold>Thu NguyÖt Phó<color=White>: Gi¶m ®iÓm phßng ngù môc tiªu <color=Blue1>[=Value1]<color=White>	1	1171		state_physical_def_point_dec	1	350			1	-1	1	1		1179	state_physical_def_point_dec	1	350			1	-1	1	1		1187	state_physical_def_point_dec	1	350			1	-1	1	1																																																																														
225	<color=Gold>Thiªn L¹i T©m Kinh<color=White>: Tr× ho·n tû lÖ miÔn dÞch <color=Blue1>[=Value1]%<color=White>	4	1172		state_attack_burst_dec_immune	0	100			1	-3	1	8																																																																																																				
226	<color=Gold>§iÖp O¸n<color=White>: <color=Blue1>[=Rate1]% <color=White> tû lÖ khiÕn kÎ ®Þch ®Þnh th©n <color=Blue1>2 <color=White>gi©y	1	1173		state_fetter	1	1	1	20		36	1	1		1180	state_fetter	1	1	1	20		36	1	1		1188	state_fetter	1	1	1	20		36	1	1																																																																														
227	<color=Gold>Thiªn Háa DiÓm D­¬ng <color=White>: t¨ng tû lÖ chÝnh x¸c cña ®ång ®éi <color=Blue1>[=Value1]% <color=White>	3	1174		state_accuracy_percent_adjust	1	5			1	-1	1	1		1181	state_attack_rate_percent_add	1	10			1	-1	1	1		1189	state_attack_rate_percent_add	1	10			1	-1	1	1		1190	state_attack_rate_percent_add	1	10			1	-1	1	1																																																																			
228	<color=Gold>§¹p V©n X¶o Bé<color=White>: <color=Blue1>[=Rate1]% <color=White> tû lÖ sau khi sö dông tèc ®é di chuyÓn b¶n th©n t¨ng <color=Blue1>[=Value1]% <color=White>trong 3 gi©y<color=White>	4	1175		state_move_speed_percent_add	0	40	1	75		54	1	1																																																																																																				
229	<color=Gold>Méng Xµ<color=White>: Trong qu¸ tr×nh Méng Xµ t¨ng lùc c«ng kÝch néi ngo¹i c«ng <color=Blue1>[=Value1]% <color=White>nh­ng ph¶i trong tr¹ng th¸i bÞ ®Þnh th©n<color=White>	1	1176		state_p_attack_percent_add	0	100			1	19	1	0		1182	state_p_attack_percent_add	0	100			1	19	1	0		1192	state_p_attack_percent_add	0	100			1	19	1	0		1193	state_p_attack_percent_add	0	100			1	19	1	0		1176	state_fetter	0	1	1	200	1	19	1	0		1182	state_fetter	0	1	1	200	1	19	1	0		1192	state_fetter	0	1	1	200	1	19	1	0		1193	state_fetter	0	1	1	200	1	19	1	0																							
230	<color=Gold>L¹c Hoa QuyÕt<color=White>: §ßn cuèi kÌm ®éc s¸t <color=Blue1>[=Value1] <color=White> ®iÓm <color=White>trong 10 gi©y	1	1232	1219	state_poison_damage	1	100			1	180	1	1		1233	state_poison_damage	1	100			1	180	1	1																																																																																									
231	<color=Gold>§µo Hoa Ch­íng<color=White>: Gi·n c¸ch sö dông rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	3	1220		state_cast_interval_reduce	0	90			1	-3	1	8																																																																																																				
232	<color=Gold>B¸ch Hoa T©m Kinh<color=White>: Gi·n c¸ch sö dông rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	1	1221		state_cast_interval_reduce	0	90			1	-3	1	8																																																																																																				
233	<color=Gold>Táa T©m QuyÕt<color=White>: KhiÕn môc tiªu tû lÖ phßng ngù ngo¹i c«ng gi¶m <color=Blue1>[=Value1]% trong 10 gi©y	1	1236	1222	state_physical_parmor_per_dec	1	25			1	180	1	1		1237	state_physical_parmor_per_dec	1	25			1	180	1	1																																																																																									
234	<color=Gold>Hoµn ThÇn ThuËt<color=White>: Mçi 1/2 gi©y håi sinh lùc <color=Blue1>[=Value1] <color=White>®iÓm, duy tr× 10 gi©y	4	1223		state_life_restore_per8f	0	100				180	1	1		1238	state_life_restore_per8f	0	100				180	1	1																																																																																									
235	<color=Gold>Linh §éng QuyÕt<color=White>: §Þnh th©n, thêi gian gi¶m tèc rót ng¾n <color=Blue1>[=Value1]%	3	1224		state_fetter_time_dec	0	50			1	-3	1	8		1224	state_slow_time_dec	0	50			1	-3	1	8																																																																																									
236	<color=Gold>Mª X¶o QuyÕt<color=White>: Tû lÖ v« hiÖu hçn lo¹n t¨ng <color=Blue1>[=Value1]% 	3	1225		state_confusion_immune	0	50			1	-3	1	8																																																																																																				
237	<color=Gold>Tiªn L­ H­¬ng<color=White>: Gi·n c¸ch sö dông rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	3	1226		state_cast_interval_reduce	0	810			1	-3	1	8																																																																																																				
238	<color=Gold>B¸ch §iÖp Nghin H­¬ng QuyÕt<color=White>: Ph¹m vi s¸t th­¬ng t¨ng <color=Blue1>[=Value1] <color=White>«	1	1245	1227	state_missle_damage_range_add	0	9			1	2	1	0		1246	state_missle_damage_range_add	0	9			1	2	1	0																																																																																									
239	<color=Gold>§iÖp LuyÕn Hoa<color=White>: §iÓm phßng ngù néi ngo¹i c«ng t¨ng <color=Blue1>[=Value1]<color=White>	4	1228		state_i_defence_point_add	0	100			1	-3	1	8		1228	state_o_defence_point_add	0	100			1	-3	1	8																																																																																									
240	<color=Gold>Ngäc Long Xuyªn NguyÖt QuyÕt<color=White>: Tû lÖ xuÊt chiªu 1 t¨ng <color=Blue1>[=Value1]%<color=White>	1	1273	1229	state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
241	<color=Gold>Linh Lung ThÝch<color=White>: Tû lÖ xuÊt chiªu 1 t¨ng <color=Blue1>[=Value1]%<color=White>	1	1873		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
242	<color=Gold>Linh Tª Truy MÖnh<color=White>: Sau khi ®¸nh tróng cã <color=Blue1>[=Rate1]% <color=White> khiÕn môc tiªu ®Þnh th©n 2 gi©y	1	1874		state_fetter	1	10	1	10	0	36	1	1		1804	state_fetter	1	10		10	0	36	1	1																																																																																									
243	<color=Gold>S¸t ý<color=White>: Tèc ®é xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	3	1875		state_burst_enhance_rate	0	10				-3	1	8																																																																																																				
244	<color=Gold>BÝch L¹c NhÉn<color=White>: Sau khi ®¸nh tróng cã <color=Blue1>[=Rate1]% <color=White> hoµn tr¶ 3 ®iÓm s¸t ý	1	1807	1876	imme_agggas_point	0	3	1	25	0	-3	1	9		1808	imme_agggas_point	0	3	1	25	0	-3	1	9																																																																																									
245	<color=Gold>Kinh Hån §o¹n<color=White>: Thêi gian gi·n c¸ch rót ng¾n <color=Blue1>[=Value1/18] <color=White> gi©y<color=White>	3	1877		state_cast_interval_reduce	0	90			1	-3	1	8																																																																																																				
246	<color=Gold>Thª Phong §o¹t<color=White>: KhiÕn môc tiªu trong 10 gi©y gi¶m <color=Blue1>[=Value1]% ngo¹i phßng	1	1878		state_physical_parmor_per_dec	1	25			1	180	1	1		1812	state_physical_parmor_per_dec	1	25			1	180	1	1																																																																																									
247	<color=Gold>Hçn §én §Êu Ph¸ch<color=White>: Thêi gian gi·n c¸ch rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y	3	1879		state_cast_interval_reduce	0	270			1	-3	1	8																																																																																																				
248	<color=Gold>To¸i Méng B¨ng<color=White>: Khi thi triÓn, ngo¹i c«ng b¶n th©n t¨ng <color=Blue1>[=Value1]%	1	1880		state_p_attack_percent_add	0	25			1	18	1	0																																																																																																				
249	<color=Gold>L­u Tinh C¶n NguyÖt<color=White>: T¨ng tû lÖ ®¹n xuyªn qua <color=Blue1>[=Value1]%	3	1881		state_pierce_attack	0	100			1	27	1	0																																																																																																				
250	<color=Gold>Yªn Vò Mª Li<color=White>: Tû lÖ gi¸n ®o¹n khi dïng kü n¨ng gi¶m <color=Blue1>[=Value1]%  <color=White>, tû lÖ gi¶m nöa s¸t th­¬ng ph¶i chÞu t¨ng <color=Blue1>[=Value2]%	1	1882		state_interrupt_rate_dec	0	100			1	45	1	0		1820	state_receive_half_damage	0	25			1	45	1	0																																																																																									
251	<color=Gold>Tµn V©n KiÕm Canh<color=White>: Trong 10 gi©y, khiÕn néi ngo¹i phßng cña môc tiªu gi¶m <color=Blue1>[=Value1]%	1	1833	1886	state_physical_parmor_per_dec	1	25			1	180	1	1		1833	state_magic_parmor_per_dec	1	25			1	180	1	1																																																																																									
252	<color=Gold>Nh©n KiÕm Hîp NhÊt<color=White>: Tèc ®é tÊn c«ng t¨ng <color=Blue1>[=Value1]%	1	1887		state_attack_speed_add	0	20			1	-3	1	8																																																																																																				
253	<color=Gold>LuyÖn KiÕm-SÝ Hµn<color=White>: Tû lÖ xuÊt chiªu 1 t¨ng <color=Blue1>[=Value1]% <color=White>, duy tr× kÐo dµi <color=Blue1>[=Value2]% 	3	1888		state_sub1_rate_add	0	10			1	-3	1	8		1888	state_skill_persist_time_add	0	25			1	1	1	0		1839	state_skill_persist_time_add	0	25			1	1	1	0																																																																														
254	<color=Gold>§o¹n Thñy KiÕm Canh<color=White>: KiÕm khÝ sÏ tæn hao <color=Blue1>[=Value1]% <color=White>thÓ lùc cña kÎ thï	1	1891		imme_stamina_percent_damage	1	5			1			1		1847	imme_stamina_percent_damage	1	5			1			1																																																																																									
255	<color=Gold>LuyÖn KiÕm-Thiªn Minh<color=White>: Tû lÖ xuÊt chiªu 1 t¨ng <color=Blue1>[=Value1]% <color=White>, duy tr× kÐo dµi <color=Blue1>[=Value2]% 	3	1889		state_sub1_rate_add	0	10			1	-3	1	8		1889	state_skill_persist_time_add	0	25			1	1	1	0		1841	state_skill_persist_time_add	0	25			1	1	1	0																																																																														
256	<color=Gold>Linh KiÕm TriÖu Håi<color=White>: Sau khi xuÊt chiªu nhËn ®­îc 1 hé thuÉn hót <color=Blue1>[=Value1] <color=White> s¸t th­¬ng, duy tr× 2 gi©y	3	1894		state_physical_damage_absorb	0	1000			1	36	1	1		1894	state_magic_damage_absorb	0	1000			1	36	1	1																																																																																									
257	<color=Gold>LuyÖn KiÕm-Phong CËn<color=White>: Tû lÖ xuÊt chiªu 1 t¨ng <color=Blue1>[=Value1]% <color=White>, duy tr× kÐo dµi <color=Blue1>[=Value2]% 	1	1890		state_sub1_rate_add	0	10			1	-3	1	8		1890	state_skill_persist_time_add	0	25			1	1	1	0		1843	state_skill_persist_time_add	0	25			1	1	1	0																																																																														
258	<color=Gold>B¹o L«i KiÕm Canh<color=White>: TÊn c«ng b¶n thÓ g©y thªm <color=Blue1>[=Value1]% <color=White> ng· ra sau	1	1892		state_retrusive_rate_add	0	20			1	18	1	1																																																																																																				
