Tªn giµy	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Søc phßng ngù (ngo¹i ; néi)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30446	30	40000	0	200	23;23					31691	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30447	30	40000	0	200	23;23					31692	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30448	30	40000	0	200	23;23					31693	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30449	30	40000	0	200	17;25					31694	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30450	30	40000	0	200	17;25					31695	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30451	30	40000	0	200	23;23					31696	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30452	30	40000	0	200	23;23					31697	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30453	30	40000	0	200	25;17					31698	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30454	30	40000	0	200	25;17					31699	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30455	30	40000	0	200	25;17					31700	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30456	30	40000	0	200	25;17					31701	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30457	30	40000	0	200	23;23					31702	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30458	30	40000	0	200	23;23					31703	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30459	30	40000	0	200	23;23					31704	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30460	30	40000	0	200	23;23					31705	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30461	30	40000	0	200	17;25					31706	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30462	30	40000	0	200	17;25					31707	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30463	30	40000	0	200	17;25					31708	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30464	30	40000	0	200	17;25					31709	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30465	30	40000	0	200	17;25					31710	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30466	30	40000	0	200	17;25					31711	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30467	30	40000	0	200	17;25					31712	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30468	30	40000	0	200	17;25					31713	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30469	30	40000	0	200	23;23					31714	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30470	30	40000	0	200	23;23					31715	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30471	30	40000	0	200	23;23					31716	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30472	30	40000	0	200	23;23					31717	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30473	30	40000	0	200	17;25					31718	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30474	30	40000	0	200	17;25					31719	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30475	30	40000	0	200	17;25					31720	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30476	30	40000	0	200	17;25					31721	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30477	30	40000	0	200	23;23					31722	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30478	30	40000	0	200	23;23					31723	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30479	30	40000	0	200	23;23					31724	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30480	30	40000	0	200	23;23					31725	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30481	30	40000	0	200	17;25					31726	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30482	30	40000	0	200	17;25					31727	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30483	30	40000	0	200	17;25					31728	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾üĞÔ¸Ğ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30484	30	40000	0	200	17;25					31729	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü½¿Ğ¡¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30485	30	40000	0	200	17;25					31730	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30486	30	40000	0	200	17;25					31731	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü×³ÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu_Háa Phông T­íng Qu©n Trang	0	101	30487	30	40000	0	200	25;17					31732	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã36.spr	\image\item\shoe\»ğ·ï½«¾ü±êÄĞ¿ã120.spr	ChiÕn trang do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾ü×°	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
