Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	Lùc phßng	PhÈm chÊt	L­u c	L­u d	L­u e	L­u f	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	L­u ( Ch÷ sè)	Gi¸ trŞ
TrÇm Sa Béi Søc	0	117	35	0	0	5	10						32341	99				\image\item\wenshi\4¼¶ÓñÅåÎÆÊÎÍÁa1.spr	\image\item\wenshi\4¼¶ÓñÅåÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		4	0	1			999
Ly Kim Thiªn V¨n	0	116	36	0	0	1	30						32345	99				\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎ½ğa1.spr	\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		5	0	1			999
No·n Thóy Thiªn V¨n	0	116	37	0	0	2	30						32345	99				\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎÄ¾a1.spr	\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		5	0	1			999
Y Lam Thiªn V¨n	0	116	38	0	0	3	30						32345	99				\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎË®a1.spr	\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		5	0	1			999
DiÖu Háa Thiªn V¨n	0	116	39	0	0	4	30						32345	99				\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎ»ğa1.spr	\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		5	0	1			999
Huúnh Th¹ch Thiªn V¨n	0	116	40	0	0	5	30						32345	99				\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎÍÁa1.spr	\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		5	0	1			999
Ly Kim ChiÕn V¨n	0	113	36	0	0	1	30						32345	99				\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎ½ğa1.spr	\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ¸o		Hoa v¨n-y		5	0	1			999
No·n Thóy ChiÕn V¨n	0	113	37	0	0	2	30						32345	99				\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎÄ¾a1.spr	\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ¸o		Hoa v¨n-y		5	0	1			999
Y Lam ChiÕn V¨n	0	113	38	0	0	3	30						32345	99				\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎË®a1.spr	\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ¸o		Hoa v¨n-y		5	0	1			999
DiÖu Háa ChiÕn V¨n	0	113	39	0	0	4	30						32345	99				\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎ»ğa1.spr	\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ¸o		Hoa v¨n-y		5	0	1			999
Huúnh Th¹ch ChiÕn V¨n	0	113	40	0	0	5	30						32345	99				\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎÍÁa1.spr	\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ¸o		Hoa v¨n-y		5	0	1			999
Ly Kim HuyÒn V¨n	0	114	36	0	0	1	30						32345	99				\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎ½ğa1.spr	\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc quÇn		Hoa v¨n- trang		5	0	1			999
No·n Thóy HuyÒn V¨n	0	114	37	0	0	2	30						32345	99				\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎÄ¾a1.spr	\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc quÇn		Hoa v¨n- trang		5	0	1			999
Y Lam HuyÒn V¨n	0	114	38	0	0	3	30						32345	99				\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎË®a1.spr	\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc quÇn		Hoa v¨n- trang		5	0	1			999
DiÖu Háa HuyÒn V¨n	0	114	39	0	0	4	30						32345	99				\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎ»ğa1.spr	\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc quÇn		Hoa v¨n- trang		5	0	1			999
Huúnh Th¹ch HuyÒn V¨n	0	114	40	0	0	5	30						32345	99				\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎÍÁa1.spr	\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc quÇn		Hoa v¨n- trang		5	0	1			999
Ly Kim §iªu Søc	0	115	36	0	0	1	30						32345	99				\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎ½ğa1.spr	\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎ½ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
No·n Thóy §iªu Søc	0	115	37	0	0	2	30						32345	99				\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎÄ¾a1.spr	\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎÄ¾a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Y Lam §iªu Søc	0	115	38	0	0	3	30						32345	99				\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎË®a1.spr	\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎË®a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
DiÖu Háa §iªu Søc	0	115	39	0	0	4	30						32345	99				\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎ»ğa1.spr	\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎ»ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Huúnh Th¹ch §iªu Søc	0	115	40	0	0	5	30						32345	99				\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎÍÁa1.spr	\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Ly Kim Béi Søc	0	117	36	0	0	1	30						32345	99				\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎ½ğa1.spr	\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎ½ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Ly Kim Béi Søc	0	117	37	0	0	2	30						32345	99				\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎÄ¾a1.spr	\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎÄ¾a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Ly Kim Béi Søc	0	117	38	0	0	3	30						32345	99				\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎË®a1.spr	\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎË®a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Ly Kim Béi Søc	0	117	39	0	0	4	30						32345	99				\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎ»ğa1.spr	\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎ»ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Ly Kim Béi Søc	0	117	40	0	0	5	30						32345	99				\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎÍÁa1.spr	\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Ly Kim Thiªn V¨n	0	116	41	0	0	1	30						32346	99				\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎ½ğa1.spr	\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		5	0	1			999
No·n Thóy Thiªn V¨n	0	116	42	0	0	2	30						32346	99				\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎÄ¾a1.spr	\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		5	0	1			999
Y Lam Thiªn V¨n	0	116	43	0	0	3	30						32346	99				\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎË®a1.spr	\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		5	0	1			999
DiÖu Háa Thiªn V¨n	0	116	44	0	0	4	30						32346	99				\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎ»ğa1.spr	\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		5	0	1			999
Huúnh Th¹ch Thiªn V¨n	0	116	45	0	0	5	30						32346	99				\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎÍÁa1.spr	\image\item\wenshi\5¼¶Ã±×ÓÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		5	0	1			999
Ly Kim ChiÕn V¨n	0	113	41	0	0	1	30						32346	99				\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎ½ğa1.spr	\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ¸o		Hoa v¨n-y		5	0	1			999
No·n Thóy ChiÕn V¨n	0	113	42	0	0	2	30						32346	99				\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎÄ¾a1.spr	\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ¸o		Hoa v¨n-y		5	0	1			999
Y Lam ChiÕn V¨n	0	113	43	0	0	3	30						32346	99				\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎË®a1.spr	\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ¸o		Hoa v¨n-y		5	0	1			999
DiÖu Háa ChiÕn V¨n	0	113	44	0	0	4	30						32346	99				\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎ»ğa1.spr	\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ¸o		Hoa v¨n-y		5	0	1			999
Huúnh Th¹ch ChiÕn V¨n	0	113	45	0	0	5	30						32346	99				\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎÍÁa1.spr	\image\item\wenshi\5¼¶ÉÏÒÂÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ¸o		Hoa v¨n-y		5	0	1			999
Ly Kim HuyÒn V¨n	0	114	41	0	0	1	30						32346	99				\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎ½ğa1.spr	\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc quÇn		Hoa v¨n- trang		5	0	1			999
No·n Thóy HuyÒn V¨n	0	114	42	0	0	2	30						32346	99				\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎÄ¾a1.spr	\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc quÇn		Hoa v¨n- trang		5	0	1			999
Y Lam HuyÒn V¨n	0	114	43	0	0	3	30						32346	99				\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎË®a1.spr	\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc quÇn		Hoa v¨n- trang		5	0	1			999
DiÖu Háa HuyÒn V¨n	0	114	44	0	0	4	30						32346	99				\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎ»ğa1.spr	\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc quÇn		Hoa v¨n- trang		5	0	1			999
Huúnh Th¹ch HuyÒn V¨n	0	114	45	0	0	5	30						32346	99				\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎÍÁa1.spr	\image\item\wenshi\5¼¶ÏÂ×°ÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc quÇn		Hoa v¨n- trang		5	0	1			999
Ly Kim §iªu Søc	0	115	41	0	0	1	30						32346	99				\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎ½ğa1.spr	\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎ½ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
No·n Thóy §iªu Søc	0	115	42	0	0	2	30						32346	99				\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎÄ¾a1.spr	\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎÄ¾a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Y Lam §iªu Søc	0	115	43	0	0	3	30						32346	99				\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎË®a1.spr	\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎË®a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
DiÖu Háa §iªu Søc	0	115	44	0	0	4	30						32346	99				\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎ»ğa1.spr	\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎ»ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Huúnh Th¹ch §iªu Søc	0	115	45	0	0	5	30						32346	99				\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎÍÁa1.spr	\image\item\wenshi\5¼¶½äÖ¸ÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Ly Kim Béi Søc	0	117	41	0	0	1	30						32346	99				\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎ½ğa1.spr	\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎ½ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Ly Kim Béi Søc	0	117	42	0	0	2	30						32346	99				\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎÄ¾a1.spr	\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎÄ¾a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Ly Kim Béi Søc	0	117	43	0	0	3	30						32346	99				\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎË®a1.spr	\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎË®a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Ly Kim Béi Søc	0	117	44	0	0	4	30						32346	99				\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎ»ğa1.spr	\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎ»ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Ly Kim Béi Søc	0	117	45	0	0	5	30						32346	99				\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎÍÁa1.spr	\image\item\wenshi\5¼¶ÓñÅåÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
T­¬ng Kh­¬ng Thiªn V¨n	0	116	46	0	0	1	10						32347	99				\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎ½ğa1.spr	\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		6	0	1			999
Lôc ThÈm Thiªn V¨n	0	116	47	0	0	2	10						32347	99				\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎÄ¾a1.spr	\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		6	0	1			999
U Lan Thiªn V¨n	0	116	48	0	0	3	10						32347	99				\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎË®a1.spr	\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		6	0	1			999
Gi¸ng Viªm Thiªn V¨n	0	116	49	0	0	4	10						32347	99				\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎ»ğa1.spr	\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		6	0	1			999
Phi §µn Thiªn V¨n	0	116	50	0	0	5	10						32347	99				\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎÍÁa1.spr	\image\item\wenshi\6¼¶Ã±×ÓÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		6	0	1			999
T­¬ng Kh­¬ng ChiÕn V¨n	0	113	46	0	0	1	10						32347	99				\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎ½ğa1.spr	\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ¸o		Hoa v¨n-y		6	0	1			999
Lôc ThÈm ChiÕn V¨n	0	113	47	0	0	2	10						32347	99				\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎÄ¾a1.spr	\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ¸o		Hoa v¨n-y		6	0	1			999
U Lan ChiÕn V¨n	0	113	48	0	0	3	10						32347	99				\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎË®a1.spr	\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ¸o		Hoa v¨n-y		6	0	1			999
Gi¸ng Viªm ChiÕn V¨n	0	113	49	0	0	4	10						32347	99				\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎ»ğa1.spr	\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ¸o		Hoa v¨n-y		6	0	1			999
Phi §µn ChiÕn V¨n	0	113	50	0	0	5	10						32347	99				\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎÍÁa1.spr	\image\item\wenshi\6¼¶ÉÏÒÂÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ¸o		Hoa v¨n-y		6	0	1			999
T­¬ng Kh­¬ng HuyÒn V¨n	0	114	46	0	0	1	10						32347	99				\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎ½ğa1.spr	\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc quÇn		Hoa v¨n- trang		6	0	1			999
Lôc ThÈm HuyÒn V¨n	0	114	47	0	0	2	10						32347	99				\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎÄ¾a1.spr	\image\item\wenshi\6¼¶ÏÂ×°ÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc quÇn		Hoa v¨n- trang		6	0	1			999
