T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Biªn hiÖu bé trang bŞ ( 1-10 m«n ph¸1, 11- hîp thÓ trang bŞ)	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30389	30	40000	0	200	25;17					31634	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_024a_0.spr	\image\item\cloth\m1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	±ê×¼ÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30390	30	40000	0	200	25;17					31635	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_024a_0.spr	\image\item\cloth\m2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	¿ıÎàÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30391	30	40000	0	200	25;17					31636	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_024a_0.spr	\image\item\cloth\f2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	ĞÔ¸ĞÅ®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30392	30	40000	0	200	25;17					31637	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_024a_0.spr	\image\item\cloth\f1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	½¿Ğ¡Å®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30393	30	40000	0	200	23;23					31638	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_024a_0.spr	\image\item\cloth\m1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	±ê×¼ÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30394	30	40000	0	200	23;23					31639	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_024a_0.spr	\image\item\cloth\m2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	¿ıÎàÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30395	30	40000	0	200	23;23					31640	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_024a_0.spr	\image\item\cloth\f2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	ĞÔ¸ĞÅ®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30396	30	40000	0	200	23;23					31641	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_024a_0.spr	\image\item\cloth\f1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	½¿Ğ¡Å®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30397	30	40000	0	200	17;25					31642	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_024a_0.spr	\image\item\cloth\m1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	±ê×¼ÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30398	30	40000	0	200	17;25					31643	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_024a_0.spr	\image\item\cloth\m2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	¿ıÎàÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30399	30	40000	0	200	17;25					31644	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_024a_0.spr	\image\item\cloth\f2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	ĞÔ¸ĞÅ®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30400	30	40000	0	200	17;25					31645	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_024a_0.spr	\image\item\cloth\f1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	½¿Ğ¡Å®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30401	30	40000	0	200	17;25					31646	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_024a_0.spr	\image\item\cloth\m1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	±ê×¼ÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30402	30	40000	0	200	17;25					31647	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_024a_0.spr	\image\item\cloth\m2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	¿ıÎàÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30403	30	40000	0	200	17;25					31648	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_024a_0.spr	\image\item\cloth\f2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	ĞÔ¸ĞÅ®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30404	30	40000	0	200	17;25					31649	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_024a_0.spr	\image\item\cloth\f1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	½¿Ğ¡Å®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30405	30	40000	0	200	23;23					31650	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_024a_0.spr	\image\item\cloth\m1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	±ê×¼ÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30406	30	40000	0	200	23;23					31651	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_024a_0.spr	\image\item\cloth\m2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	¿ıÎàÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30407	30	40000	0	200	23;23					31652	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_024a_0.spr	\image\item\cloth\f2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	ĞÔ¸ĞÅ®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30408	30	40000	0	200	23;23					31653	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_024a_0.spr	\image\item\cloth\f1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	½¿Ğ¡Å®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30409	30	40000	0	200	17;25					31654	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_024a_0.spr	\image\item\cloth\m1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	±ê×¼ÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30410	30	40000	0	200	17;25					31655	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_024a_0.spr	\image\item\cloth\m2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	¿ıÎàÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30411	30	40000	0	200	17;25					31656	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_024a_0.spr	\image\item\cloth\f2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	ĞÔ¸ĞÅ®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30412	30	40000	0	200	17;25					31657	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_024a_0.spr	\image\item\cloth\f1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	½¿Ğ¡Å®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30413	30	40000	0	200	23;23					31658	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_024a_0.spr	\image\item\cloth\m1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	±ê×¼ÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30414	30	40000	0	200	23;23					31659	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_024a_0.spr	\image\item\cloth\m2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	¿ıÎàÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30415	30	40000	0	200	23;23					31660	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_024a_0.spr	\image\item\cloth\f2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	ĞÔ¸ĞÅ®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30416	30	40000	0	200	23;23					31661	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_024a_0.spr	\image\item\cloth\f1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	½¿Ğ¡Å®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30417	30	40000	0	200	17;25					31662	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_024a_0.spr	\image\item\cloth\m1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	±ê×¼ÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30418	30	40000	0	200	17;25					31663	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_024a_0.spr	\image\item\cloth\m2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	¿ıÎàÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30419	30	40000	0	200	17;25					31664	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_024a_0.spr	\image\item\cloth\f2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	ĞÔ¸ĞÅ®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30420	30	40000	0	200	17;25					31665	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_024a_0.spr	\image\item\cloth\f1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	½¿Ğ¡Å®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30421	30	40000	0	200	17;25					31666	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_024a_0.spr	\image\item\cloth\m1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	±ê×¼ÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30422	30	40000	0	200	17;25					31667	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_024a_0.spr	\image\item\cloth\m2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	¿ıÎàÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30423	30	40000	0	200	25;17					31668	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_024a_0.spr	\image\item\cloth\m1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	±ê×¼ÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30424	30	40000	0	200	25;17					31669	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_024a_0.spr	\image\item\cloth\m2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	¿ıÎàÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30425	30	40000	0	200	25;17					31670	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_024a_0.spr	\image\item\cloth\f2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	ĞÔ¸ĞÅ®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30426	30	40000	0	200	25;17					31671	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_024a_0.spr	\image\item\cloth\f1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	½¿Ğ¡Å®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30427	30	40000	0	200	23;23					31672	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_024a_0.spr	\image\item\cloth\m1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	±ê×¼ÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30428	30	40000	0	200	23;23					31673	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_024a_0.spr	\image\item\cloth\m2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	¿ıÎàÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30429	30	40000	0	200	23;23					31674	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_024a_0.spr	\image\item\cloth\f2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	ĞÔ¸ĞÅ®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30430	30	40000	0	200	23;23					31675	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_024a_0.spr	\image\item\cloth\f1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	½¿Ğ¡Å®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30431	30	40000	0	200	23;23					31676	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_024a_0.spr	\image\item\cloth\m1_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	±ê×¼ÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30432	30	40000	0	200	23;23					31677	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_024a_0.spr	\image\item\cloth\m2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	¿ıÎàÄĞ»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0	100	30433	30	40000	0	200	23;23					31678	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_024a_0.spr	\image\item\cloth\f2_bd_024a.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc Qu©n c«ng ®¹t 6,000,000)	ĞÔ¸ĞÅ®»ğ·ïÔªË§ÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
