Tªn vò khİ	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	CÇm trªn tay	S¸t th­¬ng ngo¹i c«ng	S¸t th­¬ng Néi c«ng 	®é s¾c bĞn	Tèc ®é xuÊt chiªu	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò;Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Liªu_Háa Phông T­íng Qu©n Tr¶o (S¬ CÊp)	0	11	30513	215	18000	0	300	2	193;363	360;640	1	105	31909	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_27a1.spr	\image\item\weapon\wea_lv13_27a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ã÷½Ì×¦12	Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu_Háa Phông T­íng Qu©n PhiÕn (S¬ CÊp)	0	13	30514	140	18000	0	300	0	336;583	168;291	1	87	31910	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_29a1.spr	\image\item\weapon\wea_lv13_29a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	´äÑÌÉÈ12	Linh Chi	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Liªu_Háa Phông T­íng Qu©n §Şch (S¬ CÊp)	0	12	30515	130	18000	0	300	0	336;583	168;291	1	87	31911	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_30a1.spr	\image\item\weapon\wea_lv13_30a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	´äÑÌµÑ12	Tiªu	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Liªu_Háa Phông T­íng Qu©n §ao (Trung CÊp)	0	3	30516	200	18000	0	300	0	336;583	168;291	1	100	31912	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_02a1.spr	\image\item\weapon\wea_lv13_02a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ÉÙÁÖµ¶13	§¬n ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu_Háa Phông T­íng Qu©n Tr­îng (Trung CÊp)	0	8	30517	200	18000	0	300	0	336;583	369;652	1	100	31913	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_03a1.spr	\image\item\weapon\wea_lv13_03a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ÉÙÁÖìø13	Tİch tr­îng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu_Háa Phông T­íng Qu©n Thñ (Trung CÊp)	0	0	30518	100	18000	0	300	0	320;556	369;652	1	86	31914	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_04a1.spr	\image\item\weapon\wea_lv13_04a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ÕÊÖ	Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu_Háa Phông T­íng Qu©n Ch©m (Trung CÊp)	0	1	30519	100	18000	0	300	0	329;574	286;493	1	86	31915	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_06a1.spr	\image\item\weapon\wea_lv13_06a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	°µÆ÷	¸m khİ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Háa Phông T­íng Qu©n KiÕm (Trung CÊp)	0	2	30520	50	18000	0	300	0	352;611	369;652	1	90	31916	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_08a1.spr	\image\item\weapon\wea_lv13_08a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¶ëÃ¼½£13	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu_Háa Phông T­íng Qu©n CÇm (Trung CÊp)	0	10	30521	50	18000	0	300	0	352;611	295;502	1	90	31917	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_09a1.spr	\image\item\weapon\wea_lv13_09a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¶ëÃ¼ÇÙ13	CÇm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu_Háa Phông T­íng Qu©n Thñ (Trung CÊp)	0	0	30522	50	18000	0	300	0	352;611	293;505	1	80	31918	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_11a1.spr	\image\item\weapon\wea_lv13_11a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ÕÊÖ	Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Háa Phông T­íng Qu©n C«n (Trung CÊp)	0	5	30523	50	18000	0	300	0	352;611	176;305	1	80	31919	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_12a1.spr	\image\item\weapon\wea_lv13_12a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ø¤°ï¹÷13	C«n	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Háa Phông T­íng Qu©n KiÕm (Trung CÊp)	0	2	30524	50	18000	0	300	0	320;556	369;652	1	80	31920	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_33a1.spr	\image\item\weapon\wea_lv13_33a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îäµ±½£13	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Háa Phông T­íng Qu©n Bót (Trung CÊp)	0	9	30525	50	18000	0	300	0	329;574	286;493	1	80	31921	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_15a1.spr	\image\item\weapon\wea_lv13_15a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îäµ±±Ê13	Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Háa Phông T­íng Qu©n Th­¬ng (Trung CÊp)	0	6	30526	90	18000	0	300	0	336;583	168;291	1	86	31922	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_17a1.spr	\image\item\weapon\wea_lv13_17a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ÑîÃÅÇ¹13	Th­¬ng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Háa Phông T­íng Qu©n Cung (Trung CÊp)	0	4	30527	90	18000	0	300	0	336;583	168;291	1	86	31923	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_18a1.spr	\image\item\weapon\wea_lv13_18a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ÑîÃÅ¹­13	Cung	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Háa Phông T­íng Qu©n §ao (Trung CÊp)	0	7	30528	140	18000	0	300	2	336;583	335;588	1	90	31924	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_20a1.spr	\image\item\weapon\wea_lv13_20a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îå¶¾µ¶13	Song ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Háa Phông T­íng Qu©n Tr¶o (Trung CÊp)	0	11	30529	140	18000	0	300	1	336;583	281;505	1	90	31925	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_21a1.spr	\image\item\weapon\wea_lv13_21a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îå¶¾×¦13	Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông T­íng Qu©n KiÕm (Trung CÊp)	0	2	30530	50	18000	0	300	0	320;556	369;652	1	90	31926	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_32a1.spr	\image\item\weapon\wea_lv13_32a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	À¥ÂØ½£13	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu_Háa Phông T­íng Qu©n §ao (Trung CÊp)	0	3	30531	50	18000	0	300	0	329;574	286;493	1	90	31927	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_25a1.spr	\image\item\weapon\wea_lv13_25a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ã÷½Ìµ¶13	§¬n ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu_Háa Phông T­íng Qu©n Bót (Trung CÊp)	0	9	30532	50	18000	0	300	0	329;574	286;493	1	90	31928	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_26a1.spr	\image\item\weapon\wea_lv13_26a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ã÷½Ì±Ê13	Bót	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu_Háa Phông T­íng Qu©n Tr¶o (Trung CÊp)	0	11	30533	50	18000	0	300	2	320;556	287;505	1	90	31929	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_27a1.spr	\image\item\weapon\wea_lv13_27a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ã÷½Ì×¦13	Tr¶o	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu_Háa Phông T­íng Qu©n PhiÕn (Trung CÊp)	0	13	30534	200	18000	0	300	0	352;611	176;305	1	84	31930	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_29a1.spr	\image\item\weapon\wea_lv13_29a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	´äÑÌÉÈ13	Linh Chi	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Liªu_Háa Phông T­íng Qu©n §Şch (Trung CÊp)	0	12	30535	200	18000	0	300	0	352;611	176;305	1	84	31931	690			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_30a1.spr	\image\item\weapon\wea_lv13_30a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	´äÑÌµÑ13	Tiªu	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Liªu_Háa Phông T­íng Qu©n §ao (Cao CÊp)	0	3	30536	200	18000	0	300	0	336;583	168;291	1	100	31684	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_02a1.spr	\image\item\weapon\wea_lv13_02a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ÉÙÁÖµ¶14	§¬n ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu_Háa Phông T­íng Qu©n §ao (Cao CÊp)	0	3	30537	200	18000	0	300	0	336;583	168;291	1	100	31685	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_02a1.spr	\image\item\weapon\wea_lv13_02a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ÉÙÁÖµ¶14	§¬n ®ao	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu_Háa Phông T­íng Qu©n Tr­îng (Cao CÊp)	0	8	30538	100	18000	0	300	0	227;431	347;593	1	86	31686	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_03a1.spr	\image\item\weapon\wea_lv13_03a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ÉÙÁÖìø14	Tİch tr­îng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu_Háa Phông T­íng Qu©n Tr­îng (Cao CÊp)	0	8	30539	100	18000	0	300	0	227;431	347;593	1	86	31687	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_03a1.spr	\image\item\weapon\wea_lv13_03a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ÉÙÁÖìø14	Tİch tr­îng	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu_Háa Phông T­íng Qu©n Thñ (Cao CÊp)	0	0	30540	50	18000	0	300	0	345;602	300;517	1	90	31688	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_04a1.spr	\image\item\weapon\wea_lv13_04a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ÕÊÖ	Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu_Háa Phông T­íng Qu©n Thñ (Cao CÊp)	0	0	30541	50	18000	0	300	0	345;602	300;517	1	90	31689	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_04a1.spr	\image\item\weapon\wea_lv13_04a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ÕÊÖ	Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu_Háa Phông T­íng Qu©n Ch©m (Cao CÊp)	0	1	30542	50	18000	0	300	0	214;352	107;176	1	80	31690	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_06a1.spr	\image\item\weapon\wea_lv13_06a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ÕÊÖ	¸m khİ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Háa Phông T­íng Qu©n Ch©m (Cao CÊp)	0	1	30543	50	18000	0	300	0	214;352	107;176	1	80	31691	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_06a1.spr	\image\item\weapon\wea_lv13_06a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ÕÊÖ	¸m khİ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Háa Phông T­íng Qu©n Ch©m (Cao CÊp)	0	1	30544	50	18000	0	300	0	214;352	107;176	1	80	31692	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_06a1.spr	\image\item\weapon\wea_lv13_06a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ÕÊÖ	¸m khİ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Háa Phông T­íng Qu©n Ch©m (Cao CÊp)	0	1	30545	50	18000	0	300	0	214;352	107;176	1	80	31693	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_06a1.spr	\image\item\weapon\wea_lv13_06a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ÕÊÖ	¸m khİ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Háa Phông T­íng Qu©n KiÕm (Cao CÊp)	0	2	30546	90	18000	0	300	0	202;381	378;672	1	86	31694	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_08a1.spr	\image\item\weapon\wea_lv13_08a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¶ëÃ¼½£14	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu_Háa Phông T­íng Qu©n KiÕm (Cao CÊp)	0	2	30547	90	18000	0	300	0	202;381	378;672	1	86	31695	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_08a1.spr	\image\item\weapon\wea_lv13_08a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¶ëÃ¼½£14	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu_Háa Phông T­íng Qu©n CÇm (Cao CÊp)	0	10	30548	140	18000	0	300	1	262;441	302;514	1	90	31696	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_09a1.spr	\image\item\weapon\wea_lv13_09a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¶ëÃ¼ÇÙ14	CÇm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu_Háa Phông T­íng Qu©n CÇm (Cao CÊp)	0	10	30549	140	18000	0	300	1	262;441	302;514	1	90	31697	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_09a1.spr	\image\item\weapon\wea_lv13_09a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¶ëÃ¼ÇÙ14	CÇm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu_Háa Phông T­íng Qu©n Thñ (Cao CÊp)	0	0	30550	50	18000	0	300	0	345;602	300;517	1	90	31698	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_11a1.spr	\image\item\weapon\wea_lv13_11a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ÕÊÖ	Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Háa Phông T­íng Qu©n Thñ (Cao CÊp)	0	0	30551	50	18000	0	300	0	345;602	300;517	1	90	31699	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_11a1.spr	\image\item\weapon\wea_lv13_11a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ÕÊÖ	Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Háa Phông T­íng Qu©n Thñ (Cao CÊp)	0	0	30552	50	18000	0	300	0	345;602	300;517	1	90	31700	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_11a1.spr	\image\item\weapon\wea_lv13_11a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ÕÊÖ	Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Háa Phông T­íng Qu©n Thñ (Cao CÊp)	0	0	30553	50	18000	0	300	0	345;602	300;517	1	90	31701	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_11a1.spr	\image\item\weapon\wea_lv13_11a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ÕÊÖ	Hé thñ	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Háa Phông T­íng Qu©n C«n (Cao CÊp)	0	5	30554	200	18000	0	300	0	276;473	138;236	1	84	31702	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_12a1.spr	\image\item\weapon\wea_lv13_12a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ø¤°ï¹÷14	C«n	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Háa Phông T­íng Qu©n C«n (Cao CÊp)	0	5	30555	200	18000	0	300	0	276;473	138;236	1	84	31703	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_12a1.spr	\image\item\weapon\wea_lv13_12a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ø¤°ï¹÷14	C«n	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Háa Phông T­íng Qu©n C«n (Cao CÊp)	0	5	30556	200	18000	0	300	0	276;473	138;236	1	84	31704	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_12a1.spr	\image\item\weapon\wea_lv13_12a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ø¤°ï¹÷14	C«n	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Háa Phông T­íng Qu©n C«n (Cao CÊp)	0	5	30557	200	18000	0	300	0	276;473	138;236	1	84	31705	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_12a1.spr	\image\item\weapon\wea_lv13_12a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Ø¤°ï¹÷14	C«n	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Háa Phông T­íng Qu©n KiÕm (Cao CÊp)	0	2	30558	90	18000	0	300	0	202;381	378;672	1	86	31706	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_33a1.spr	\image\item\weapon\wea_lv13_33a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îäµ±½£14	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Háa Phông T­íng Qu©n KiÕm (Cao CÊp)	0	2	30559	90	18000	0	300	0	202;381	378;672	1	86	31707	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv13_33a1.spr	\image\item\weapon\wea_lv13_33a0.spr	Vò khİ do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	Îäµ±½£14	Tr­êng kiÕm	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
