Tªn trang søc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Tèng_Thanh Long Nguyªn So¸i LÖnh Bµi	0	102	31258	10	1	0	100						32007	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc C«ng Tr¹ng ®¹t 1,500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tèng_Thanh Long Nguyªn So¸i LÖnh Bµi	0	102	31259	10	1	0	100						32008	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc C«ng Tr¹ng ®¹t 1,500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Tèng_Thanh Long Nguyªn So¸i LÖnh Bµi	0	102	31260	10	1	0	100						32009	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc C«ng Tr¹ng ®¹t 1,500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Tèng_Thanh Long Nguyªn So¸i LÖnh Bµi	0	102	31261	10	1	0	100						32010	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc C«ng Tr¹ng ®¹t 1,500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Tèng_Thanh Long Nguyªn So¸i LÖnh Bµi	0	102	31262	10	1	0	100						32011	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc C«ng Tr¹ng ®¹t 1,500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tèng_Thanh Long Nguyªn So¸i LÖnh Bµi	0	102	31263	10	1	0	100						32012	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc C«ng Tr¹ng ®¹t 1,500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tèng_Thanh Long Nguyªn So¸i LÖnh Bµi	0	102	31264	10	1	0	100						32013	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc C«ng Tr¹ng ®¹t 1,500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tèng_Thanh Long Nguyªn So¸i LÖnh Bµi	0	102	31265	10	1	0	100						32014	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc C«ng Tr¹ng ®¹t 1,500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tèng_Thanh Long Nguyªn So¸i LÖnh Bµi	0	102	31266	10	1	0	100						32015	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc C«ng Tr¹ng ®¹t 1,500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Tèng_Thanh Long Nguyªn So¸i LÖnh Bµi	0	102	31267	10	1	0	100						32016	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc C«ng Tr¹ng ®¹t 1,500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tèng_Thanh Long Nguyªn So¸i LÖnh Bµi	0	102	31268	10	1	0	100						32017	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc C«ng Tr¹ng ®¹t 1,500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng_Thanh Long Nguyªn So¸i LÖnh Bµi	0	102	31269	10	1	0	100						32018	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc C«ng Tr¹ng ®¹t 1,500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tèng_Thanh Long Nguyªn So¸i LÖnh Bµi	0	102	31270	10	1	0	100						32019	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc C«ng Tr¹ng ®¹t 1,500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Tèng_Thanh Long Nguyªn So¸i LÖnh Bµi	0	102	31271	10	1	0	100						32020	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm Nguyªn so¸i hoÆc C«ng Tr¹ng ®¹t 1,500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Èm HuyÕt T¶ Giíi	0	102	31272	10	1	0	100						32021	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÌìÒÇÖ®¾ÅÓÄ»ğ½äa1.spr	\image\item\ring\ÌìÒÇÖ®¾ÅÓÄ»ğ½äa0.spr	ThŞ huyÕt Èm hËn, chiÕn v« bÊt th¾ng		§· khãa		10;10	1	1		0		98	73	53	12
Èm HuyÕt H÷u Giíi	0	102	31273	10	1	0	100						32021	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÌìÒÇÖ®¾ÅÓÄ»ğ½äa1.spr	\image\item\ring\ÌìÒÇÖ®¾ÅÓÄ»ğ½äa0.spr	ThŞ huyÕt Èm hËn, chiÕn v« bÊt th¾ng		§· khãa		10;10	1	1		0		98	73	53	12
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31274	10	1	0	100						32022	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31275	10	1	0	100						32023	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31276	10	1	0	100						32024	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31277	10	1	0	100						32025	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31278	10	1	0	100						32026	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31279	10	1	0	100						32027	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31280	10	1	0	100						32028	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31281	10	1	0	100						32029	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31282	10	1	0	100						32030	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31283	10	1	0	100						32031	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31284	10	1	0	100						32032	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31285	10	1	0	100						32033	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31286	10	1	0	100						32034	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31287	10	1	0	100						32035	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31288	10	1	0	100						32036	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31289	10	1	0	100						32037	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31290	10	1	0	100						32038	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31291	10	1	0	100						32039	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31292	10	1	0	100						32040	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Bµi	0	102	31293	10	1	0	100						32041	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÅÆ_a1.spr	\image\item\ring\ÇàÁúÁîÅÆ_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Kú	0	102	31294	10	1	0	100						32022	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÆì_a1.spr	\image\item\ring\ÇàÁúÁîÆì_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Kú	0	102	31295	10	1	0	100						32023	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÆì_a1.spr	\image\item\ring\ÇàÁúÁîÆì_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Kú	0	102	31296	10	1	0	100						32024	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÆì_a1.spr	\image\item\ring\ÇàÁúÁîÆì_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Kú	0	102	31297	10	1	0	100						32025	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÆì_a1.spr	\image\item\ring\ÇàÁúÁîÆì_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Kú	0	102	31298	10	1	0	100						32026	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÆì_a1.spr	\image\item\ring\ÇàÁúÁîÆì_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Kú	0	102	31299	10	1	0	100						32027	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÆì_a1.spr	\image\item\ring\ÇàÁúÁîÆì_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Kú	0	102	31300	10	1	0	100						32028	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÆì_a1.spr	\image\item\ring\ÇàÁúÁîÆì_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Kú	0	102	31301	10	1	0	100						32029	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÆì_a1.spr	\image\item\ring\ÇàÁúÁîÆì_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Kú	0	102	31302	10	1	0	100						32030	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÆì_a1.spr	\image\item\ring\ÇàÁúÁîÆì_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Kú	0	102	31303	10	1	0	100						32031	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÆì_a1.spr	\image\item\ring\ÇàÁúÁîÆì_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Kú	0	102	31304	10	1	0	100						32032	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÆì_a1.spr	\image\item\ring\ÇàÁúÁîÆì_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Kú	0	102	31305	10	1	0	100						32033	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÆì_a1.spr	\image\item\ring\ÇàÁúÁîÆì_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Kú	0	102	31306	10	1	0	100						32034	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÆì_a1.spr	\image\item\ring\ÇàÁúÁîÆì_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Kú	0	102	31307	10	1	0	100						32035	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÆì_a1.spr	\image\item\ring\ÇàÁúÁîÆì_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Kú	0	102	31308	10	1	0	100						32036	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÆì_a1.spr	\image\item\ring\ÇàÁúÁîÆì_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu_Thanh Long T­íng Qu©n LÖnh Kú	0	102	31309	10	1	0	100						32037	790			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÇàÁúÁîÆì_a1.spr	\image\item\ring\ÇàÁúÁîÆì_a0.spr	Trang søc do ThÇn Thanh Long ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc qu©n c«ng ®¹t 500,000)		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
