T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"Phßng ngù (Néi, ngo¹i)"	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè lç tèi ®a	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	"Cã thÓ giao dŞch hay kh«ng (0 cã thÓ, 1 kh«ng thÓ giao dŞch, 2 cã thÓ giao dŞch cã thÓ b¸n shop, 3 cã thÓ giao dŞch kh«ng thÓ b¸n shop, 4 khãa sau khi trang bŞ cã thÓ b¸n shop, 5 khãa sau khi trang bŞ kh«ng thÓ b¸n shop)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 4	Phİ	
Hæ Hoµng Kim C¸t T­êng (Vµng)	0	105	10116	0	0	0	2500							10				\image\item\horse\¼ªÏé»Æ½ğ»¢£¨»Æ£©a1.spr	\image\item\horse\¼ªÏé»Æ½ğ»¢£¨»Æ£©a0.spr	"TiÕng vang nói rõng, bãng r¹p c©y cá <color=yellow>(Thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng)"	¼ªÏé»Æ½ğ»¢£¨»Æ£©	M· Bµi	\script\item\yujian.lua	7	4	1		10000	999
Hæ Vµng C¸t T­êng (§en)	0	105	10117	0	0	0	2500							10				\image\item\horse\¼ªÏé»Æ½ğ»¢£¨ºÚ£©a1.spr	\image\item\horse\¼ªÏé»Æ½ğ»¢£¨ºÚ£©a0.spr	"TiÕng vang nói rõng, bãng r¹p c©y cá <color=yellow>(Thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng)"	¼ªÏé»Æ½ğ»¢£¨ºÚ£©	M· Bµi	\script\item\yujian.lua	7	4	1		10000	999
Hæ Vµng C¸t T­êng (Tr¾ng)	0	105	10118	0	0	0	2500							10				\image\item\horse\¼ªÏé»Æ½ğ»¢£¨°×£©a1.spr	\image\item\horse\¼ªÏé»Æ½ğ»¢£¨°×£©a0.spr	"TiÕng vang nói rõng, bãng r¹p c©y cá <color=yellow>(Thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng)"	¼ªÏé»Æ½ğ»¢£¨°×£©	M· Bµi	\script\item\yujian.lua	7	4	1		10000	999
Thiªn Lı Truy Phong (Tr¾ng)	0	105	110	0	0	0	2500							10				\image\item\horse\Ç§Àï×··ç£¨°×£©a1.spr	\image\item\horse\Ç§Àï×··ç£¨°×£©a0.spr	"TÇn Thñy Hoµng Ngù H¹ ThÇn CÈu Chi Thñ, ch¹y nh­ giã ®uæi."	Âí27	M· Bµi		7	4	1		10000	999
ThuyÒn Rång Trªn C¹n	0	105	10139	0	0	0	2500							10			6	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr	"ThuyÒn rång thÇn kú, cã thÓ di chuyÓn trªn c¹n dÔ dµng!"	ÁúÖÛ	M· Bµi		1	4	1		10000	999
Thanh S­¬ng	0	105	111	0	0	0	2500							10				\image\item\horse\Âí1a1.spr	\image\item\horse\Âí1a0.spr	"Ngùa quı T©y Vùc, l«ng nh­ s­¬ng tuyÕt."	Âí30a	M· Bµi		7	4	1		50000	999
Thanh S­¬ng (§á)	0	105	112	0	0	0	2500							10				\image\item\horse\Âí1a1.spr	\image\item\horse\Âí1a0.spr	"Ngùa quı T©y Vùc, l«ng nh­ s­¬ng tuyÕt."	Âí28b	M· Bµi		7	4	1		50000	999
Thanh S­¬ng (Lôc)	0	105	113	0	0	0	2500							10				\image\item\horse\Âí1a1.spr	\image\item\horse\Âí1a0.spr	"Ngùa quı T©y Vùc, l«ng nh­ s­¬ng tuyÕt."	Âí28c	M· Bµi		7	4	1		50000	999
Kim Huy	0	105	114	0	0	0	2500							10				\image\item\horse\Âí2a1.spr	\image\item\horse\Âí2a0.spr	"Ngùa quı T©y Vùc, l«ng nh­ ¸nh mÆt trêi."	Âí29a	M· Bµi		7	4	1		50000	999
Kim Huy (§á)	0	105	115	0	0	0	2500							10				\image\item\horse\Âí2a1.spr	\image\item\horse\Âí2a0.spr	"Ngùa quı T©y Vùc, l«ng nh­ ¸nh mÆt trêi."	Âí29b	M· Bµi		7	4	1		50000	999
Kim Huy (Lam)	0	105	116	0	0	0	2500							10				\image\item\horse\Âí2a1.spr	\image\item\horse\Âí2a0.spr	"Ngùa quı T©y Vùc, l«ng nh­ ¸nh mÆt trêi."	Âí29c	M· Bµi		7	4	1		50000	999
L­u Quang	0	105	117	0	0	0	2500							10				\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	"Ngùa quı T©y Vùc, tèc ®é nh­ chíp giËt."	Âí28a	M· Bµi		7	4	1		50000	999
L­u Quang (Lam)	0	105	118	0	0	0	2500							10				\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	"Ngùa quı T©y Vùc, tèc ®é nh­ chíp giËt."	Âí30b	M· Bµi		7	4	1		50000	999
L­u Quang (Lôc)	0	105	119	0	0	0	2500							10				\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	"Ngùa quı T©y Vùc, tèc ®é nh­ chíp giËt."	Âí30c	M· Bµi		7	4	1		50000	999
D­¬ng Sa	0	105	121	0	0	0	2500							10			6	\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	"TiÕng kªu tha thiÕt, vang väng trêi cao."	Âí31a	M· Bµi	\script\item\yujian.lua	7	4	1		50000	999
Ngù Phong	0	105	122	0	0	0	2500							10			6	\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	"Ng©n nga s¸o thæi, r× rÇm giã reo."	Âí31b	M· Bµi	\script\item\yujian.lua	7	4	1		50000	999
Truy §iÖn	0	105	123	0	0	0	2500							10			6	\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	"SÊm chíp vôt qua, lôc l¹c liªn håi, ngh×n dÆm nh­ m¬."	Âí31c	M· Bµi	\script\item\yujian.lua	7	4	1		50000	999
L­u Tinh	0	105	124	0	0	0	2500							10			6	\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	"ƒnh sao ®Çy ®ång, yªn b¹c lÊp l¸nh."	Âí32a	M· Bµi	\script\item\yujian.lua	7	4	1		50000	999
C« NguyÖt	0	105	125	0	0	0	2500							10			6	\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	"Ngh×n dÆm mét m×nh, c­ìi giã ®ãn tr¨ng."	Âí32b	M· Bµi	\script\item\yujian.lua	7	4	1		50000	999
NhiÕp V©n	0	105	126	0	0	0	2500							10			6	\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	"Yªn b¹c d©y vµng, tiÕng hİ xung thiªn."	Âí32c	M· Bµi	\script\item\yujian.lua	7	4	1		50000	999
B¹ch HiÓu	0	105	134	0	0	0	2500							10				\image\item\horse\ma034a1.spr	\image\item\horse\ma034a0.spr	"Ban mai lªn n¾ng sím, cßn nghe tiÕng s­¬ng ®ªm."	°×Ïş	M· Bµi		7	4	1		50000	999
Thanh HiÓu	0	105	135	0	0	0	2500							10				\image\item\horse\ma035a1.spr	\image\item\horse\ma035a0.spr	"§ªm m­a chê n¾ng sím, vã s¾t ®Õn Nh¹n M«n."	ÇåÏş	M· Bµi		7	4	1		50000	999
PhÊt HiÓu	0	105	136	0	0	0	2500							10				\image\item\horse\ma036a1.spr	\image\item\horse\ma036a0.spr	"Hõng ®«ng næi giã, chim vç c¸nh bay."	·÷Ïş	M· Bµi		7	4	1		50000	999
Phi HiÓu	0	105	137	0	0	0	2500							10				\image\item\horse\ma037a1.spr	\image\item\horse\ma037a0.spr	"Så ­ng kinh ph¸ hiÓu, kh­¬ng ®Şch tØnh biªn nh©n."	ÆÆÏş	M· Bµi		7	4	1		50000	999
B¹ch HiÓu	0	105	138	0	0	0	2500							10			6	\image\item\horse\ma034a1.spr	\image\item\horse\ma034a0.spr	"Ban mai lªn n¾ng sím, cßn nghe tiÕng s­¬ng ®ªm."	°×Ïş	M· Bµi		4	4	1		50000	999
Thanh HiÓu	0	105	139	0	0	0	2500							10			6	\image\item\horse\ma035a1.spr	\image\item\horse\ma035a0.spr	"§ªm m­a chê n¾ng sím, vã s¾t ®Õn Nh¹n M«n."	ÇåÏş	M· Bµi		4	4	1		50000	999
PhÊt HiÓu	0	105	140	0	0	0	2500							10			6	\image\item\horse\ma036a1.spr	\image\item\horse\ma036a0.spr	"Hõng ®«ng næi giã, chim vç c¸nh bay."	·÷Ïş	M· Bµi		4	4	1		50000	999
Thá Ngäc BŞ B¾t	0	105	30060	0	0	0	2500							10			6	\image\item\horse\°×ÍÃ×Ó36lb.spr	\image\item\horse\°×ÍÃ×Ólb120.spr	"Trªn s¸ch nãi, dïng 1 cäng cµ rèt cã thÓ dô b¾t ®­îc thá!"	ÂÜ²·°×ÍÃ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Thá ®en bŞ dô b¾t	0	105	30061	0	0	0	2500							10			6	\image\item\horse\ºÚÍÃ×Ó36lb.spr	\image\item\horse\ºÚÍÃ×Ólb120.spr	"Trªn s¸ch nãi, dïng 1 cäng cµ rèt cã thÓ dô b¾t ®­îc thá!"	ÂÜ²·ºÚÍÃ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Thá Hoa BŞ B¾t	0	105	30062	0	0	0	2500							10			6	\image\item\horse\»¨ÍÃ×Ó36lb.spr	\image\item\horse\»¨ÍÃ×Ólb120.spr	"Trªn s¸ch nãi, dïng 1 cäng cµ rèt cã thÓ dô b¾t ®­îc thá!"	ÂÜ²·»¨ÍÃ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
ChiÕu D¹ Ngäc S­ Tö	0	105	142	0	0	0	2500							10				\image\item\horse\sizia1.spr	\image\item\horse\sizia0.spr	"B¾c C­¬ng ThÇn C©u, cao chİn th­íc, tr¾ng nh­ tuyÕt, l«ng th­a nh­ con K× L©n, tèc ®é phi nh­ tªn b¾n. "	Âí20	M· Bµi		7	4	1		50000	999
D­¬ng M«n ChiÕu D¹ Ngäc S­ Tö	0	105	143	0	0	0	2500							10			6	\image\item\horse\sizia1.spr	\image\item\horse\sizia0.spr	"B¾c C­¬ng ThÇn C©u, cao chİn th­íc, tr¾ng nh­ tuyÕt, l«ng th­a nh­ con K× L©n, tèc ®é phi nh­ tªn b¾n. "	Âí20	M· Bµi		4	4	1		50000	999
Lõa Kh¨n §á	0	105	151	0	0	0	2500							10				\image\item\horse\Ã«Â¿36-³È.spr	\image\item\horse\Ã«Â¿120-³È.spr	"Nhµ ta cã lõa nhá, ta kh«ng c­ìi bao giê."	Ã«Â¿1	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Lõa Kh¨n Vµng	0	105	152	0	0	0	2500							10				\image\item\horse\Ã«Â¿36-»Æ.spr	\image\item\horse\Ã«Â¿120-»Æ.spr	"Nhµ ta cã lõa nhá, ta kh«ng c­ìi bao giê."	Ã«Â¿2	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Lõa Kh¨n Lam	0	105	153	0	0	0	2500							10				\image\item\horse\Ã«Â¿36-À¶.spr	\image\item\horse\Ã«Â¿120-À¶.spr	"Nhµ ta cã lõa nhá, ta kh«ng c­ìi bao giê."	Ã«Â¿3	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Lõa Kh¨n Xanh	0	105	154	0	0	0	2500							10				\image\item\horse\Ã«Â¿36-ÂÌ.spr	\image\item\horse\Ã«Â¿120-ÂÌ.spr	"Nhµ ta cã lõa nhá, ta kh«ng c­ìi bao giê."	Ã«Â¿4	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
C¸o TuyÕt B¶y §u«i	0	105	162	0	0	0	2500							10			6	\image\item\horse\jiuweihu07a1.spr	\image\item\horse\jiuweihu07a0.spr	"Vïng Thanh Kh©u cã loµi thó l¹, d¸ng nh­ c¸o mµ cã b¶y ®u«i."	ÆßÎ²ºü	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Xe TuyÕt §Şa Cùc	0	105	167	0	0	0	2500							10				\image\item\horse\Ñ©ÇÁ0136.spr	\image\item\horse\Ñ©ÇÁ01120.spr	Thó c­ìi ®Æc biÖt cña vïng b¨ng tuyÕt.	Ñ©ÇÁ1	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Xe TuyÕt Tinh X¶o	0	105	168	0	0	0	2500							10				\image\item\horse\Ñ©ÇÁ0236.spr	\image\item\horse\Ñ©ÇÁ02120.spr	"Thó c­ìi ®Æc biÖt cña vïng b¨ng tuyÕt, ngo¹i h×nh tinh x¶o."	Ñ©ÇÁ2	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Xe TuyÕt Hµo Hoa	0	105	169	0	0	0	2500							10				\image\item\horse\Ñ©ÇÁ0336.spr	\image\item\horse\Ñ©ÇÁ03120.spr	"Thó c­ìi ®Æc biÖt cña vïng b¨ng tuyÕt, ngo¹i h×nh sang träng."	Ñ©ÇÁ3	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Xe TuyÕt §éc §¸o	0	105	170	0	0	0	2500							10				\image\item\horse\Ñ©ÇÁ0436.spr	\image\item\horse\Ñ©ÇÁ04120.spr	Thó c­ìi ®Æc biÖt cña vïng b¨ng tuyÕt.	Ñ©ÇÁ4	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Dª Tr¾ng S÷a	0	105	173	0	0	0	2500							10				\image\item\horse\×øÆïÑò2a1.spr	\image\item\horse\×øÆïÑò2a0.spr	"Ng­êi ta lµ dª tr¾ng, kh«ng ph¶i dª s÷a nhĞ!"	°×ÑòĞ¡ºÚ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
ChiÕn M· N÷ Ch©n	0	105	177	0	0	0	2500							10				\image\item\horse\ma038aa1.spr	\image\item\horse\ma038aa0.spr	"N÷ Ch©n lµ bé téc chuyªn c­ìi ngùa ®i s¨n, rÊt chó träng viÖc ch¨n nu«i ngùa. Hä tõng nhËp gièng ngùa tèt, phèi thµnh ngùa quı b¶n ®Şa."	Å®ÕæÕ½Âí	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
ChiÕn M· Liªu Quèc	0	105	178	0	0	0	2500							10				\image\item\horse\ma038ba1.spr	\image\item\horse\ma038ba0.spr	"Liªu Quèc chiÕm gi÷ mét vïng th¶o nguyªn réng lín ë phİa b¾c Tr­êng Thµnh, phÇn lín chiÕn m· cña Liªu Quèc ®Òu lÊy tõ vïng nµy."	ÁÉ¹úÕ½Âí	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
ChiÕn M· T©y H¹	0	105	179	0	0	0	2500							10				\image\item\horse\ma038ca1.spr	\image\item\horse\ma038ca0.spr	"Vïng th¶o nguyªn T©y H¹ næi tiÕng víi nghÒ du môc, ®Æc biÖt lµ ch¨n nu«i ngùa. Mçi n¨m cã v« sè ngùa tèt tõ ®©y nhËp vµo Trung Nguyªn."	Î÷ÏÄÕ½Âí	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
L¹c §µ Tr¾ng	0	105	184	0	0	0	2500							10				\image\item\horse\°×ÑòÍÕa1.spr	\image\item\horse\°×ÑòÍÕa0.spr	"Gièng l¹c ®µ l¹, nghe nãi xuÊt xø tõ lôc ®Şa kh¸c. VÎ ngoµi gièng ngùa mµ l«ng l¸ xï x×, tİnh nh¸t, dÔ næi nãng, thİch ®­îc vç vÒ."	°×ÑòÍÕ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
L¹c §µ §en	0	105	185	0	0	0	2500							10				\image\item\horse\ºÚ°×ÑòÍÕa1.spr	\image\item\horse\ºÚ°×ÑòÍÕa0.spr	"Gièng l¹c ®µ l¹, nghe nãi xuÊt xø tõ lôc ®Şa kh¸c. VÎ ngoµi gièng ngùa mµ l«ng l¸ xï x×, tİnh nh¸t, dÔ næi nãng, thİch ®­îc vç vÒ."	ºÚÑòÍÕ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
L¹c §µ N©u	0	105	186	0	0	0	2500							10				\image\item\horse\»ÒÑòÍÕa1.spr	\image\item\horse\»ÒÑòÍÕa0.spr	"Gièng l¹c ®µ l¹, nghe nãi xuÊt xø tõ lôc ®Şa kh¸c. VÎ ngoµi gièng ngùa mµ l«ng l¸ xï x×, tİnh nh¸t, dÔ næi nãng, thİch ®­îc vç vÒ."	»ÒÑòÍÕ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
L¹c §µ S÷a	0	105	187	0	0	0	2500							10				\image\item\horse\Èé°×ÑòÍÕa1.spr	\image\item\horse\Èé°×ÑòÍÕa0.spr	"Gièng l¹c ®µ l¹, nghe nãi xuÊt xø tõ lôc ®Şa kh¸c. VÎ ngoµi gièng ngùa mµ l«ng l¸ xï x×, tİnh nh¸t, dÔ næi nãng, thİch ®­îc vç vÒ."	Èé°×ÑòÍÕ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
B¹ch Anh	0	105	188	0	0	0	2500							10				\image\item\horse\baizelinshou01a1.spr	\image\item\horse\baizelinshou01a0.spr	"Sèng trong rõng s©u trªn nói tuyÕt, İt khi ra ngoµi kiÕm ¨n. Cã lÏ cã hä hµng víi Linh Thó B¹ch Tr¹ch."	°×ĞÜ1	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
B¹ch Hoa	0	105	189	0	0	0	2500							10				\image\item\horse\baizelinshou02a1.spr	\image\item\horse\baizelinshou02a0.spr	"Sèng trong rõng s©u trªn nói tuyÕt, İt khi ra ngoµi kiÕm ¨n. Cã lÏ cã hä hµng víi Linh Thó B¹ch Tr¹ch."	°×ĞÜ2	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
B¹ch Khuª	0	105	191	0	0	0	2500							10				\image\item\horse\baizelinshou04a1.spr	\image\item\horse\baizelinshou04a0.spr	"Sèng trong rõng s©u trªn nói tuyÕt, İt khi ra ngoµi kiÕm ¨n. Cã lÏ cã hä hµng víi Linh Thó B¹ch Tr¹ch. Sau khi trang bŞ ®Çy ®ñ vò khİ gi¸p trô, khİ thÕ ngÊt trêi!"	°×ĞÜ4	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Bİch Yªn KiÕm	0	105	196	0	0	0	2500							10				\image\item\horse\±ÌÓñº®ÑÌa1.spr	\image\item\horse\±ÌÓñº®ÑÌa0.spr	"§ªm qua giã thu ®Ïo cµnh, mét m×nh lÇu cao, ng¾m ch©n trêi xa th¼m. (TriÖu håi Bİch Yªn KiÕm, cã thÓ c­ìi kiÕm bay lªn)"	±ÌÓñº®ÑÌ½£	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Long T­êng KiÕm	0	105	197	0	0	0	2500							10				\image\item\horse\ÁúÔ¨»ØÏèa1.spr	\image\item\horse\ÁúÔ¨»ØÏèa0.spr	"C­ìi rång bay l­în, cê xİ rîp trêi, xe tiªn lÊp l¸nh. (TriÖu håi Long T­êng KiÕm, cã thÓ c­ìi kiÕm bay lªn)"	ÁúÔ¨»ØÏè½£	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Méc Ng­u L­u M·	0	105	198	0	0	0	2500							10				\image\item\horse\Ä¾Å£Á÷Âía1.spr	\image\item\horse\Ä¾Å£Á÷Âía0.spr	"Mét m×nh ®i vµi m­¬i dÆm, lïa theo bÇy ba m­¬i dÆm."	Ä¾Å£Á÷Âí	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Phong Nghª	0	105	200	0	0	0	2500							10				\image\item\horse\Ê¨×Ó2a1.spr	\image\item\horse\Ê¨×Ó2a0.spr	"VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, cã thÓ chØ huy mu«n thó."	·çâ¥	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Linh Nghª	0	105	201	0	0	0	2500							10				\image\item\horse\Ê¨×Ó3a1.spr	\image\item\horse\Ê¨×Ó3a0.spr	"VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, cã thÓ chØ huy mu«n thó."	Áéâ¥	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
ChiÕn Nghª	0	105	202	0	0	0	2500							10				\image\item\horse\Ê¨×Ó4a1.spr	\image\item\horse\Ê¨×Ó4a0.spr	"VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, cã thÓ chØ huy mu«n thó."	Õ½â¥	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
B¸ch ChiÕn Kim Gi¸p	0	105	203	0	0	0	2500							10				\image\item\horse\Ê¨×Ó6a1.spr	\image\item\horse\Ê¨×Ó6a0.spr	"VÎ ngoµi nh­ s­ tö, m×nh mang gi¸p vµng, kinh nghiÖm chiÕn ®Êu ®Çy m×nh."	»Æâ¥	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
H¾c Gi¸p ChiÕn Nghª	0	105	204	0	0	0	2500							10				\image\item\horse\Ê¨×Ó5a1.spr	\image\item\horse\Ê¨×Ó5a0.spr	"VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, m×nh mang gi¸p ®en, oai vÖ dÉn ®Çu mu«ng thó."	°×â¥	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
ChiÕn Lang	0	105	205	0	0	0	2500							10				\image\item\horse\Õ½ÀÇa1.spr	\image\item\horse\Õ½ÀÇa0.spr	"Th©n lÎ tung hoµnh n¬i ®Êt tuyÕt, mét m×nh gäi tr¨ng ®Ønh giã m©y."	Õ½ÀÇ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
B¹ch Lang	0	105	206	0	0	0	2500							10				\image\item\horse\°×ÀÇa1.spr	\image\item\horse\°×ÀÇa0.spr	"Th©n lÎ tung hoµnh n¬i ®Êt tuyÕt, mét m×nh gäi tr¨ng ®Ønh giã m©y."	°×ÀÇ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
B¹ch Tª	0	105	207	0	0	0	2500							10				\image\item\horse\°×Ï¬Å£a1.spr	\image\item\horse\°×Ï¬Å£a0.spr	"Th©n h×nh ®å sé, rÊt cã khİ thÕ."	Ï¬Å£	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Hång Quang KiÕm	0	105	208	0	0	0	2500							10				\image\item\horse\·É½£1a1.spr	\image\item\horse\·É½£1a0.spr	"LÊp l¸nh r¸ng hång, vò ®iÖu tiªn sa. (TriÖu håi Hång Quang KiÕm, cã thÓ c­ìi kiÕm bay lªn)"	·É½£1	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Phong S­¬ng KiÕm	0	105	209	0	0	0	2500							10				\image\item\horse\·É½£2a1.spr	\image\item\horse\·É½£2a0.spr	"Giã thæi s­¬ng s¾c l¹nh, s¸ng soi bãng tr¨ng thanh. (TriÖu håi Phong S­¬ng KiÕm, cã thÓ c­ìi kiÕm bay lªn)"	·É½£2	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
T¬ Vµng ƒnh B¹c	0	105	210	0	0	0	2500							10				\image\item\horse\½ğË¿Òø±»a1.spr	\image\item\horse\½ğË¿Òø±»a0.spr	"MÌo ch¬i tuyÕt tr¾ng, giã vên bãng hoa."	ÃÈÃ¨	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Kim Kú L©n-§Ñp	0	105	30100	0	0	0	800							10				\image\item\horse\longjin_.spr	\image\item\horse\longjin.spr	"Kim Kú L©n, t­îng tr­ng phó quı, giµu sang, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi."	½ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Thñy Kú L©n-§Ñp	0	105	30101	0	0	0	800							10				\image\item\horse\Óñ÷è÷ëa1.spr	\image\item\horse\Óñ÷è÷ëa0.spr	"Thñy Kú L©n, t­îng tr­ng hßa b×nh, thŞnh v­îng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	Ë®÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Ngäc Kú L©n-§Ñp	0	105	30102	0	0	0	800							10				\image\item\horse\longlv_.spr	\image\item\horse\longlv.spr	"Ngäc Kú L©n, t­îng tr­ng cao nh·, may m¾n, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	Óñ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Háa Kú L©n-§Ñp	0	105	30103	0	0	0	800							10				\image\item\horse\»ğ÷è÷ëa1.spr	\image\item\horse\»ğ÷è÷ëa0.spr	"Háa Kú L©n, t­îng tr­ng qu©n uy, quyÒn lùc, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	»ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Cæ D­¬ng Thó-§Ñp	0	105	30104	0	0	0	800							10				\image\item\horse\qiling_.spr	\image\item\horse\qiling.spr	"Cæ D­¬ng Thó, linh thó truyÒn thuyÕt trong Cæ D­¬ng §éng víi søc m¹nh khuynh ®¶o thÇn th«ng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	¹ÅÑôÊŞ	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Bß L«ng Vµng-§Ñp	0	105	30105	0	0	0	800							10				\image\item\horse\niou_huang_.spr	\image\item\horse\niou_huang.spr	"Kim Mao Ng­u, th©n phñ l«ng mao khiÕt b¹ch hoang hoµng kim, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	êóÅ£3	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Bß L«ng §á-§Ñp	0	105	30106	0	0	0	800							10				\image\item\horse\niou_hong_.spr	\image\item\horse\niou_hong.spr	"Hång Mao Ng­u, th©n phñ l«ng mao khiÕt b¹ch hång háa, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	êóÅ£	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Bß L«ng Lam-§Ñp	0	105	30107	0	0	0	800							10				\image\item\horse\niou_lan_.spr	\image\item\horse\niou_lan.spr	"Lam Mao Ng­u, th©n phñ l«ng mao lam h¶i, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	êóÅ£2	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Hæ Tr¾ng-§Ñp	0	105	30108	0	0	0	800							10				\image\item\horse\baihu_.spr	\image\item\horse\baihu.spr	"Hæ Tr¾ng, tr©n thó quı hiÕm thÕ gian khã gÆp, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	»¢3	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
Hæ Vµng-§Ñp	0	105	30109	0	0	0	800							10				\image\item\horse\»Æ»¢a1.spr	\image\item\horse\»Æ»¢a0.spr	"Hæ Vµng, chóa tÓ s¬n l©m, v¹n thó chi v­¬ng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	»¢2	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4	2	1		50000	999
